# wavelength normalized_flux flux
3798.9253653490 0.1437981475 3586236612608.0
3798.9313637908 0.1840701949 3635828490240.0
3798.9373622327 0.2139773636 3662968782848.0
3798.9433606745 0.2321783058 3679221710848.0
3798.9493591163 0.2413218658 3686446661632.0
3798.9553575581 0.2452103934 3686172459008.0
3798.9613559999 0.2467623068 3683136307200.0
3798.9673544418 0.2475523071 3685637160960.0
3798.9733528836 0.2482011830 3698972164096.0
3798.9793513254 0.2488429472 3718988431360.0
3798.9853497672 0.2494161821 3735826464768.0
3798.9913482090 0.2498128130 3743487623168.0
3798.9973466509 0.2499412225 3743076581376.0
3799.0033450927 0.2497353471 3738526285824.0
3799.0093435345 0.2491515443 3734497132544.0
3799.0153419763 0.2481995856 3732466565120.0
3799.0213404181 0.2470030740 3712907739136.0
3799.0273388600 0.2458112758 3644382248960.0
3799.0333373018 0.2448935868 3595285561344.0
3799.0393357436 0.2443680367 3634448302080.0
3799.0453341854 0.2441056907 3664111992832.0
3799.0513326272 0.2437786198 3659042127872.0
3799.0573310690 0.2429758323 3652071718912.0
3799.0633295109 0.2413050239 3644488941568.0
3799.0693279527 0.2385234074 3627840700416.0
3799.0753263945 0.2347647905 3593182380032.0
3799.0813248363 0.2307323497 3473734893568.0
3799.0873232781 0.2275489958 3217509842944.0
3799.0933217199 0.2261622926 3141881561088.0
3799.0993201617 0.2267039172 3359504072704.0
3799.1053186036 0.2283890449 3504375332864.0
3799.1113170454 0.2300632000 3514642202624.0
3799.1173154872 0.2308893801 3493396217856.0
3799.1233139290 0.2306360018 3467261247488.0
3799.1293123708 0.2295074623 3438747582464.0
3799.1353108126 0.2278181797 3407434743808.0
3799.1413092544 0.2257560372 3374602256384.0
3799.1473076963 0.2232644213 3343849357312.0
3799.1533061381 0.2199932471 3316079394816.0
3799.1593045799 0.2153581570 3287086268416.0
3799.1653030217 0.2088338444 3248074260480.0
3799.1713014635 0.2004906500 3162619772928.0
3799.1772999053 0.1914409302 2898326192128.0
3799.1832983471 0.1836462314 2463827492864.0
3799.1892967889 0.1789166242 2288629579776.0
3799.1952952307 0.1777487903 2529017200640.0
3799.2012936725 0.1789741431 2800873635840.0
3799.2072921144 0.1804806124 2830535229440.0
3799.2132905562 0.1802984574 2789886918656.0
3799.2192889980 0.1772288707 2773068808192.0
3799.2252874398 0.1708987998 2716589621248.0
3799.2312858816 0.1616538521 2522150862848.0
3799.2372843234 0.1505620365 2290587533312.0
3799.2432827652 0.1394081350 2036891648000.0
3799.2492812070 0.1304104800 1729161461760.0
3799.2552796488 0.1255627396 1559566352384.0
3799.2612780906 0.1258248057 1597719838720.0
3799.2672765324 0.1306217974 1817244467200.0
3799.2732749742 0.1380211530 2120980103168.0
3799.2792734160 0.1455348160 2346659610624.0
3799.2852718578 0.1510686396 2427197325312.0
3799.2912702997 0.1534890709 2420548304896.0
3799.2972687415 0.1526084365 2381513752576.0
3799.3032671833 0.1487545579 2311074873344.0
3799.3092656251 0.1422213022 2172343025664.0
3799.3152640669 0.1329019547 2021078335488.0
3799.3212625087 0.1204334321 1989326405632.0
3799.3272609505 0.1049878807 1937171283968.0
3799.3332593923 0.0882293993 1327136374784.0
3799.3392578341 0.0734602656 669142810624.0
3799.3452562759 0.0644299491 482894708736.0
3799.3512547177 0.0634340635 492358402048.0
3799.3572531595 0.0700099767 713569927168.0
3799.3632516013 0.0811239346 1346913042432.0
3799.3692500431 0.0927088853 1737241657344.0
3799.3752484849 0.1015397352 1750319104000.0
3799.3812469267 0.1062989626 1706527162368.0
3799.3872453685 0.1073986602 1655183245312.0
3799.3932438103 0.1060581500 1601174372352.0
3799.3992422521 0.1034494982 1547572740096.0
3799.4052406939 0.1003248716 1497053921280.0
3799.4112391357 0.0970373406 1449588293632.0
3799.4172375775 0.0937002707 1402341294080.0
3799.4232360193 0.0903257101 1352928067584.0
3799.4292344611 0.0869029897 1301229731840.0
3799.4352329029 0.0834303810 1248123158528.0
3799.4412313447 0.0799193835 1194455859200.0
