# wavelength normalized_flux flux
3798.9253653490 0.1207293967 58671119728640.0
3798.9313637908 0.1551946345 61445542772736.0
3798.9373622327 0.1811627222 62296197955584.0
3798.9433606745 0.1973093199 62702315634688.0
3798.9493591163 0.2056849420 62971350876160.0
3798.9553575581 0.2093853164 63148375670784.0
3798.9613559999 0.2108288882 63235617193984.0
3798.9673544418 0.2113521222 63239933132800.0
3798.9733528836 0.2115377126 63197084123136.0
3798.9793513254 0.2116013068 63167916933120.0
3798.9853497672 0.2115988937 63195574173696.0
3798.9913482090 0.2114973663 63263463178240.0
3798.9973466509 0.2111961066 63305607544832.0
3799.0033450927 0.2105511694 63264306233344.0
3799.0093435345 0.2094236444 63102930386944.0
3799.0153419763 0.2077532191 62700453363712.0
3799.0213404181 0.2056298106 61835541741568.0
3799.0273388600 0.2033105237 60550012731392.0
3799.0333373018 0.2011421304 59370863853568.0
3799.0393357436 0.1994121955 58774366715904.0
3799.0453341854 0.1982164829 58735145779200.0
3799.0513326272 0.1974305491 58954709204992.0
3799.0573310690 0.1968017846 59114658988032.0
3799.0633295109 0.1960948904 58965727641600.0
3799.0693279527 0.1951936088 58492270411776.0
3799.0753263945 0.1940993793 57920561610752.0
3799.0813248363 0.1928402529 57489194221568.0
3799.0873232781 0.1913621343 57269693710336.0
3799.0933217199 0.1894849026 57129444573184.0
3799.0993201617 0.1869642646 56765345431552.0
3799.1053186036 0.1836324098 55847812071424.0
3799.1113170454 0.1795377488 54266920173568.0
3799.1173154872 0.1749991900 52256783204352.0
3799.1233139290 0.1705366049 50256330883072.0
3799.1293123708 0.1667045272 48667255898112.0
3799.1353108126 0.1638973570 47717371871232.0
3799.1413092544 0.1621929071 47448475041792.0
3799.1473076963 0.1612776108 47749953224704.0
3799.1533061381 0.1604845369 48390926761984.0
3799.1593045799 0.1589753544 49011075579904.0
3799.1653030217 0.1560633226 48974287339520.0
3799.1713014635 0.1515702069 47302517456896.0
3799.1772999053 0.1460002502 43736922849280.0
3799.1832983471 0.1403500698 40008157233152.0
3799.1892967889 0.1356100483 38108322070528.0
3799.1952952307 0.1322646747 38186172547072.0
3799.2012936725 0.1300997412 38826428858368.0
3799.2072921144 0.1283616977 38883827908608.0
3799.2132905562 0.1260779358 38640948346880.0
3799.2192889980 0.1223645472 38468017192960.0
3799.2252874398 0.1167029946 37541352833024.0
3799.2312858816 0.1091952990 34527804129280.0
3799.2372843234 0.1006873119 29823317573632.0
3799.2432827652 0.0926112790 25439340855296.0
3799.2492812070 0.0865593617 22586387857408.0
3799.2552796488 0.0837869416 21442787803136.0
3799.2612780906 0.0848537993 21945003278336.0
3799.2672765324 0.0894805447 24090324762624.0
3799.2732749742 0.0966082872 27814608764928.0
3799.2792734160 0.1046530737 32407218552832.0
3799.2852718578 0.1119292030 36183388192768.0
3799.2912702997 0.1171103102 37962565812224.0
3799.2972687415 0.1195092838 38051896098816.0
3799.3032671833 0.1190307679 37120521535488.0
3799.3092656251 0.1158720698 35772207988736.0
3799.3152640669 0.1102475348 34503296811008.0
3799.3212625087 0.1024043426 33129800663040.0
3799.3272609505 0.0929424949 29860942577664.0
3799.3332593923 0.0831284836 23895648239616.0
3799.3392578341 0.0748085952 18468084645888.0
3799.3452562759 0.0698147213 15788832456704.0
3799.3512547177 0.0691724957 15918871609344.0
3799.3572531595 0.0725999983 18770730942464.0
3799.3632516013 0.0786100517 23795920273408.0
3799.3692500431 0.0851652744 28271467036672.0
3799.3752484849 0.0905144582 29912173903872.0
3799.3812469267 0.0937519742 29800481685504.0
3799.3872453685 0.0948607751 29222298976256.0
3799.3932438103 0.0943595899 28564663566336.0
3799.3992422521 0.0928761533 27893107261440.0
3799.4052406939 0.0908880913 27217170006016.0
3799.4112391357 0.0886669433 26535318781952.0
3799.4172375775 0.0863331583 25840291151872.0
3799.4232360193 0.0839285722 25123866279936.0
3799.4292344611 0.0814648149 24382913118208.0
3799.4352329029 0.0789449881 23622376751104.0
3799.4412313447 0.0763687111 22851264446464.0
3799.4472297865 0.0737299761 22073695010816.0
3799.4532282283 0.0710133056 21283907567616.0
3799.4592266701 0.0681888625 20469436645376.0
3799.4652251119 0.0652017970 19617072283648.0
3799.4712235537 0.0619487228 18716175630336.0
3799.4772219955 0.0582434816 17759270338560.0
3799.4832204373 0.0538019405 16738771009536.0
3799.4892188791 0.0483044810 15617540227072.0
3799.4952173208 0.0415735672 14150334939136.0
3799.5012157626 0.0337988405 11389958619136.0
3799.5072142044 0.0256297270 6892983156736.0
3799.5132126462 0.0179927903 3232050970624.0
3799.5192110880 0.0117081948 1502052220928.0
3799.5252095298 0.0071681716 818681020416.0
3799.5312079716 0.0042852211 530162352128.0
3799.5372064134 0.0026849583 397567492096.0
3799.5432048552 0.0019621805 341038694400.0
3799.5492032970 0.0018560519 332816220160.0
3799.5552017388 0.0023224286 369081122816.0
3799.5612001806 0.0035427224 467047317504.0
3799.5671986224 0.0058799402 680135032832.0
3799.5731970642 0.0097455876 1164635013120.0
3799.5791955059 0.0153647482 2380575014912.0
3799.5851939477 0.0225376768 5253531959296.0
3799.5911923895 0.0305847333 9765872730112.0
3799.5971908313 0.0385782138 13273968672768.0
3799.6031892731 0.0457326346 15059365396480.0
