# wavelength normalized_flux flux
3798.9253653490 0.3388176986 728214523609088.0
3798.9313637908 0.4337516896 738922011295744.0
3798.9373622327 0.5042858925 744407892492288.0
3798.9433606745 0.5472326785 747411752353792.0
3798.9493591163 0.5687581436 749171011223552.0
3798.9553575581 0.5776883108 750025239953408.0
3798.9613559999 0.5807463394 750036111589376.0
3798.9673544418 0.5815571469 749374552408064.0
3798.9733528836 0.5816459434 748612128604160.0
3798.9793513254 0.5815287683 748082371231744.0
3798.9853497672 0.5812714236 748286382178304.0
3798.9913482090 0.5806680394 749062563299328.0
3798.9973466509 0.5793036194 749694057709568.0
3799.0033450927 0.5766577350 749047732240384.0
3799.0093435345 0.5723038432 745518409973760.0
3799.0153419763 0.5661741015 737141814460416.0
3799.0213404181 0.5587800594 722987212865536.0
3799.0273388600 0.5512417718 705282552365056.0
3799.0333373018 0.5450358681 689405668884480.0
3799.0393357436 0.5415217832 680769697611776.0
3799.0453341854 0.5414518399 681883503427584.0
3799.0513326272 0.5447033070 691666700730368.0
3799.0573310690 0.5503573543 706325893873664.0
3799.0633295109 0.5570650128 721088568885248.0
3799.0693279527 0.5635006570 732379702362112.0
3799.0753263945 0.5686873141 739226417102848.0
3799.0813248363 0.5720829645 742702320713728.0
3799.0873232781 0.5734686421 744201331408896.0
3799.0933217199 0.5727807021 743958061776896.0
3799.0993201617 0.5700256303 741236327579648.0
3799.1053186036 0.5653257047 734921047932928.0
3799.1113170454 0.5590386569 724592456892416.0
3799.1173154872 0.5518407675 711210211213312.0
3799.1233139290 0.5446825472 697061850742784.0
3799.1293123708 0.5385950550 685020775710720.0
3799.1353108126 0.5343987080 677554914590720.0
3799.1413092544 0.5324114096 675954032640000.0
3799.1473076963 0.5322610236 679950499708928.0
3799.1533061381 0.5328876070 687622250823680.0
3799.1593045799 0.5327774841 695424528678912.0
3799.1653030217 0.5303968465 698568713175040.0
3799.1713014635 0.5246936392 692580723458048.0
3799.1772999053 0.5154629473 676177505157120.0
3799.1832983471 0.5033942620 652791475339264.0
3799.1892967889 0.4897557300 628113331453952.0
3799.1952952307 0.4758419692 606273489862656.0
3799.2012936725 0.4624116660 588946719375360.0
3799.2072921144 0.4493393247 576531713753088.0
3799.2132905562 0.4356464066 567683477143552.0
3799.2192889980 0.4199764299 557126950846464.0
3799.2252874398 0.4014001378 536369407459328.0
3799.2312858816 0.3802147059 500565285011456.0
3799.2372843234 0.3583090701 455124631683072.0
3799.2432827652 0.3388552692 412624521003008.0
3799.2492812070 0.3254532247 383329958363136.0
3799.2552796488 0.3211082907 371839142461440.0
3799.2612780906 0.3273881650 379828654047232.0
3799.2672765324 0.3439249161 408341599748096.0
3799.2732749742 0.3683340922 456322826895360.0
3799.2792734160 0.3966358289 516083136069632.0
3799.2852718578 0.4241884805 572386801876992.0
3799.2912702997 0.4468867626 611026206720000.0
3799.2972687415 0.4621309902 628047564767232.0
3799.3032671833 0.4691345821 628578932752384.0
3799.3092656251 0.4685340553 620120330207232.0
3799.3152640669 0.4616937573 607642712014848.0
3799.3212625087 0.4502069388 591518062608384.0
3799.3272609505 0.4358127404 568783592751104.0
3799.3332593923 0.4205271623 538670436188160.0
3799.3392578341 0.4065822753 507653088346112.0
3799.3452562759 0.3959528537 486120404025344.0
3799.3512547177 0.3896616897 480365214957568.0
3799.3572531595 0.3873299998 488632255250432.0
3799.3632516013 0.3873300804 502322362843136.0
3799.3692500431 0.3874925052 511308407504896.0
3799.3752484849 0.3859560848 510707682508800.0
3799.3812469267 0.3817050296 502095031566336.0
3799.3872453685 0.3746061898 489380149985280.0
3799.3932438103 0.3650888069 474505738715136.0
3799.3992422521 0.3537565055 458613118205952.0
3799.4052406939 0.3411451040 441961966206976.0
3799.4112391357 0.3276706951 423948336496640.0
3799.4172375775 0.3136900045 404864924385280.0
3799.4232360193 0.2995672934 384965065834496.0
3799.4292344611 0.2856818774 365350822608896.0
3799.4352329029 0.2723709492 347136201850880.0
3799.4412313447 0.2598471629 331020746358784.0
3799.4472297865 0.2481387455 316876513083392.0
3799.4532282283 0.2370714163 303971444981760.0
3799.4592266701 0.2262709324 291517985980416.0
3799.4652251119 0.2151541430 279077059559424.0
3799.4712235537 0.2029226274 266486329376768.0
3799.4772219955 0.1886477442 253172266303488.0
3799.4832204373 0.1715454966 236579650011136.0
3799.4892188791 0.1514060461 210432459538432.0
3799.4952173208 0.1289380245 171126428794880.0
3799.5012157626 0.1057328425 128456968896512.0
3799.5072142044 0.0837792882 92665009930240.0
3799.5132126462 0.0647909096 66576816537600.0
3799.5192110880 0.0497301127 49064976580608.0
3799.5252095298 0.0387294067 38241562525696.0
3799.5312079716 0.0313332070 32067568009216.0
3799.5372064134 0.0268502433 28782926757888.0
3799.5432048552 0.0246505659 27292447277056.0
3799.5492032970 0.0243486351 27094058795008.0
3799.5552017388 0.0258859389 28121984139264.0
3799.5612001806 0.0295402248 30720191889408.0
3799.5671986224 0.0358658999 35766197551104.0
3799.5731970642 0.0455434447 44814225637376.0
3799.5791955059 0.0591167485 59874939502592.0
3799.5851939477 0.0766519009 82875328233472.0
3799.5911923895 0.0974512415 115277693976576.0
3799.5971908313 0.1200249772 155708469280768.0
3799.6031892731 0.1424434928 196193200111616.0
3799.6091877149 0.1629514975 225756735078400.0
3799.6151861567 0.1805059266 244539247820800.0
3799.6211845985 0.1949372796 258666234118144.0
3799.6271830403 0.2067212543 271055251832832.0
3799.6331814821 0.2166086291 282166734880768.0
3799.6391799238 0.2253699307 291888393355264.0
3799.6451783656 0.2337260250 300487555416064.0
3799.6511768074 0.2423712000 308924750233600.0
3799.6571752492 0.2519691995 318675668172800.0
3799.6631736910 0.2630744338 331265358168064.0
3799.6691721328 0.2760099272 347765045460992.0
3799.6751705746 0.2907705410 368376425742336.0
3799.6811690163 0.3070104992 392209836802048.0
3799.6871674581 0.3241338352 417498939785216.0
3799.6931658999 0.3414570133 442303952977920.0
3799.6991643417 0.3583786930 465337560596480.0
3799.7051627835 0.3744885342 486182311952384.0
3799.7111612253 0.3895715327 505097549250560.0
3799.7171596671 0.4034966835 522607594045440.0
3799.7231581088 0.4160039803 539267067543552.0
3799.7291565506 0.4264316367 555462013485056.0
3799.7351549924 0.4334809837 570911480610816.0
3799.7411534342 0.4351955646 583770411368448.0
3799.7471518760 0.4293563476 589045302296576.0
3799.7531503178 0.4143484043 577599147343872.0
3799.7591487595 0.3902212066 539617275150336.0
3799.7651472013 0.3593660562 475699303415808.0
3799.7711456431 0.3263065634 403385475923968.0
3799.7771440849 0.2966144440 344235588976640.0
3799.7831425267 0.2755259226 307647735660544.0
3799.7891409684 0.2669236744 293107761414144.0
3799.7951394102 0.2729055664 299002268483584.0
3799.8011378520 0.2936765683 326845803266048.0
3799.8071362938 0.3274701268 380537524977664.0
3799.8131347356 0.3705861632 459706019610624.0
3799.8191331773 0.4179107735 550500554506240.0
3799.8251316191 0.4640585540 630070427254784.0
3799.8311300609 0.5047294131 686250545643520.0
3799.8371285027 0.5375713056 722037286895616.0
3799.8431269445 0.5621187817 745567198117888.0
3799.8491253862 0.5789723135 762376223719424.0
3799.8551238280 0.5887817338 774892496617472.0
3799.8611222698 0.5915813747 783205674254336.0
3799.8671207116 0.5867608454 784794946371584.0
3799.8731191533 0.5736646318 774136112611328.0
3799.8791175951 0.5525569148 744303739535360.0
3799.8851160369 0.5254799589 692803994648576.0
3799.8911144787 0.4964917922 628772004954112.0
3799.8971129204 0.4710115920 569274292764672.0
3799.9031113622 0.4544409340 530556102115328.0
3799.9091098040 0.4505843626 520761127206912.0
3799.9151082458 0.4604608732 541922363965440.0
3799.9211066875 0.4819279449 591178424647680.0
3799.9271051293 0.5102833441 657878595665920.0
3799.9331035711 0.5397101518 722818568290304.0
3799.9391020129 0.5650856049 767433614819328.0
3799.9451004546 0.5834364679 785815806410752.0
3799.9510988964 0.5944350792 785159683047424.0
3799.9570973382 0.5998119204 776986427392000.0
3799.9630957800 0.6021008690 770352045096960.0
3799.9690942217 0.6033726309 769871008759808.0
3799.9750926635 0.6044702406 775903894306816.0
3799.9810911053 0.6049326286 785189680709632.0
3799.9870895470 0.6034988952 791987808632832.0
3799.9930879888 0.5989132053 790307134242816.0
3799.9990864306 0.5906905574 776907037605888.0
3800.0050848723 0.5795484168 753334109601792.0
3800.0110833141 0.5673551759 725344277495808.0
3800.0170817559 0.5566462547 700198250610688.0
3800.0230801977 0.5499169061 684263183745024.0
3800.0290786394 0.5489413900 680522938318848.0
3800.0350770812 0.5542996270 690339287400448.0
3800.0410755230 0.5651933601 712397568344064.0
3800.0470739647 0.5795719657 743020349620224.0
3800.0530724065 0.5945601737 776156022308864.0
3800.0590708483 0.6071332546 804106461511680.0
3800.0650692900 0.6148910774 819652900945920.0
3800.0710677318 0.6166869394 819148779159552.0
3800.0770661736 0.6128676472 804616488878080.0
3800.0830646153 0.6050378370 782834159583232.0
3800.0890630571 0.5955101410 761572460855296.0
3800.0950614989 0.5867636260 745351241793536.0
3800.1010599406 0.5811463565 733805027524608.0
3800.1070583824 0.5807624739 725367698489344.0
3800.1130568242 0.5872510909 724109071745024.0
3800.1190552659 0.6012730740 740038300139520.0
3800.1250537077 0.6219328495 779212159975424.0
3800.1310521495 0.6466646268 834050033975296.0
3800.1370505912 0.6719176309 886006454681600.0
3800.1430490330 0.6943830284 920910647263232.0
3800.1490474747 0.7120624255 938547527811072.0
3800.1550459165 0.7246048070 946289005035520.0
3800.1610443583 0.7328870135 950289431527424.0
3800.1670428000 0.7382661340 953775535685632.0
3800.1730412418 0.7419645614 956636520775680.0
3800.1790396836 0.7447741514 959569312350208.0
3800.1850381253 0.7469998527 962774029041664.0
3800.1910365671 0.7484837619 966273018101760.0
3800.1970350088 0.7486219565 969625642729472.0
3800.2030334506 0.7463953289 971721855205376.0
3800.2090318924 0.7405083734 970534699401216.0
3800.2150303341 0.7297341763 962717254942720.0
3800.2210287759 0.7134771653 943702830743552.0
3800.2270272176 0.6923972776 909831443578880.0
3800.2330256594 0.6687802839 862710686285824.0
3800.2390241012 0.6463331307 811968533364736.0
3800.2450225429 0.6293040369 771275932827648.0
3800.2510209847 0.6211776814 752371164512256.0
3800.2570194264 0.6234628696 760261623414784.0
3800.2630178682 0.6351076338 792410460258304.0
3800.2690163099 0.6528296694 838741883092992.0
3800.2750147517 0.6722526780 884167940243456.0
3800.2810131935 0.6893721437 915629850755072.0
3800.2870116352 0.7017259515 928845599342592.0
3800.2930100770 0.7088162032 928168202469376.0
3800.2990085187 0.7117281920 921284242309120.0
3800.3050069605 0.7122716923 914662275153920.0
3800.3110054022 0.7121098386 911801558499328.0
3800.3170038440 0.7122164886 913246345232384.0
3800.3230022857 0.7127591271 917411993747456.0
3800.3290007275 0.7133074635 921845943500800.0
3800.3349991693 0.7131941753 924439432658944.0
3800.3409976110 0.7118817557 923921956208640.0
3800.3469960528 0.7092482143 919568738418688.0
3800.3529944945 0.7057361375 911174291947520.0
3800.3589929363 0.7023122782 900217763266560.0
3800.3649913780 0.7002101653 890818026012672.0
3800.3709898198 0.7005153921 887994688995328.0
3800.3769882615 0.7037585761 894094414970880.0
3800.3829867033 0.7097008979 907229767139328.0
3800.3889851450 0.7173833213 923259390394368.0
3800.3949835868 0.7253462994 938784891863040.0
3800.4009820285 0.7318594399 952191833604096.0
3800.4069804703 0.7350941534 962521431277568.0
3800.4129789120 0.7333350112 967620765417472.0
3800.4189773538 0.7253847096 962926768816128.0
3800.4249757955 0.7111732847 942638215725056.0
3800.4309742373 0.6923152393 904692582318080.0
3800.4369726790 0.6721950077 855764381990912.0
3800.4429711208 0.6552930171 810777283919872.0
3800.4489695625 0.6458598728 784639320915968.0
3800.4549680043 0.6464480199 785718364340224.0
3800.4609664460 0.6569424816 813843152371712.0
3800.4669648878 0.6745075902 860352749240320.0
3800.4729633295 0.6944174170 910259463913472.0
3800.4789617713 0.7113143109 948872427864064.0
3800.4849602130 0.7202923927 968963949330432.0
3800.4909586548 0.7174484506 970845816094720.0
3800.4969570965 0.7000323833 955873224556544.0
3800.5029555382 0.6666675935 920242175868928.0
3800.5089539800 0.6179490799 854330466893824.0
3800.5149524217 0.5571404939 751557603753984.0
3800.5209508635 0.4902372887 623742262706176.0
3800.5269493052 0.4248920075 501728684277760.0
3800.5329477470 0.3685254395 411300630888448.0
3800.5389461887 0.3266245628 357036504121344.0
3800.5449446305 0.3020888102 331408333602816.0
3800.5509430722 0.2956579691 327367037812736.0
3800.5569415139 0.3066931732 342503173652480.0
3800.5629399557 0.3334918233 378780178710528.0
3800.5689383974 0.3728881706 440460875137024.0
3800.5749368392 0.4196610332 528585450323968.0
3800.5809352809 0.4666837845 631779086041088.0
3800.5869337227 0.5064359156 721598931795968.0
3800.5929321644 0.5335286962 765789313433600.0
3800.5989306061 0.5469418463 755609368526848.0
3800.6049290479 0.5505610815 714687121457152.0
3800.6109274896 0.5515574026 676540362784768.0
3800.6169259314 0.5574341674 663145769074688.0
3800.6229243731 0.5732158734 682920805138432.0
3800.6289228148 0.5999549101 734942254333952.0
3800.6349212566 0.6349312163 808889108922368.0
3800.6409196983 0.6731729695 885591654793216.0
3800.6469181401 0.7094837695 946597236047872.0
3800.6529165818 0.7400811759 985654863331328.0
3800.6589150235 0.7632544489 1007973795102720.0
3800.6649134653 0.7790096329 1021119616253952.0
3800.6709119070 0.7881570113 1029449503997952.0
3800.6769103487 0.7914207309 1033996733513728.0
3800.6829087905 0.7889291484 1033927745601536.0
3800.6889072322 0.7801373929 1027372954419200.0
3800.6949056740 0.7640692689 1011817321070592.0
3800.7009041157 0.7397756903 984643532750848.0
3800.7069025574 0.7069717471 943448488148992.0
3800.7129009992 0.6667932571 885711511224320.0
3800.7188994409 0.6224594107 810215649837056.0
