# wavelength normalized_flux flux
3798.9253653490 0.0064277639 4410288128.0
3798.9313637908 0.0084224871 4934554112.0
3798.9373622327 0.0100443900 5277297664.0
3798.9433606745 0.0111879966 5499087872.0
3798.9493591163 0.0119237250 5638886912.0
3798.9553575581 0.0123928001 5734864896.0
3798.9613559999 0.0127171143 5840724992.0
3798.9673544418 0.0129674196 5963823104.0
3798.9733528836 0.0131722024 6080406528.0
3798.9793513254 0.0133379704 6164444160.0
3798.9853497672 0.0134651864 6210465792.0
3798.9913482090 0.0135557999 6233157120.0
3798.9973466509 0.0136139690 6254448128.0
3799.0033450927 0.0136438605 6273565184.0
3799.0093435345 0.0136479698 6277214720.0
3799.0153419763 0.0136270164 6264318976.0
3799.0213404181 0.0135804601 6243666432.0
3799.0273388600 0.0135063658 6214257664.0
3799.0333373018 0.0133997348 6171369984.0
3799.0393357436 0.0132481156 6114017280.0
3799.0453341854 0.0130228396 6041167360.0
3799.0513326272 0.0126664571 5959961088.0
3799.0573310690 0.0120853380 5846241792.0
3799.0633295109 0.0111690897 5664148992.0
3799.0693279527 0.0098590798 5336915456.0
3799.0753263945 0.0082523617 4636199936.0
3799.0813248363 0.0066629657 2697164032.0
3799.0873232781 0.0055424827 406097728.0
3799.0933217199 0.0052561650 197074704.0
3799.0993201617 0.0058608571 1581412480.0
3799.1053186036 0.0070673510 3950881536.0
3799.1113170454 0.0084207975 4771751424.0
3799.1173154872 0.0095469940 5012863488.0
3799.1233139290 0.0102848953 5071819264.0
3799.1293123708 0.0106591116 5068923392.0
3799.1353108126 0.0107753512 5035488256.0
3799.1413092544 0.0107349287 4979578368.0
3799.1473076963 0.0106012011 4899590656.0
3799.1533061381 0.0104004591 4808669184.0
3799.1593045799 0.0101341602 4708767744.0
3799.1653030217 0.0097953313 4604369920.0
3799.1713014635 0.0093902965 4468206592.0
3799.1772999053 0.0089581113 4214017536.0
3799.1832983471 0.0085682524 3629279232.0
3799.1892967889 0.0082866603 3281094400.0
3799.1952952307 0.0081322934 3631764224.0
3799.2012936725 0.0080638691 3858836224.0
3799.2072921144 0.0080101089 3814688000.0
3799.2132905562 0.0079143416 3710006272.0
3799.2192889980 0.0077564701 3592933632.0
3799.2252874398 0.0075450205 3478092032.0
3799.2312858816 0.0072982669 3360627968.0
3799.2372843234 0.0070322855 3233494016.0
3799.2432827652 0.0067587127 3096738048.0
3799.2492812070 0.0064860724 2952693504.0
3799.2552796488 0.0062198268 2823239680.0
3799.2612780906 0.0059610724 2720849920.0
3799.2672765324 0.0057061517 2623196672.0
3799.2732749742 0.0054481958 2513175552.0
3799.2792734160 0.0051792292 2392018944.0
3799.2852718578 0.0048909344 2263214080.0
3799.2912702997 0.0045740229 2132309504.0
3799.2972687415 0.0042180119 1993570048.0
3799.3032671833 0.0038127195 1834873088.0
3799.3092656251 0.0033509147 1609107456.0
3799.3152640669 0.0028318427 1320081664.0
3799.3212625087 0.0022675431 1134683136.0
3799.3272609505 0.0016916222 882563648.0
3799.3332593923 0.0011622457 298437664.0
3799.3392578341 0.0007497558 3756921.2
3799.3452562759 0.0005119625 59039.1
3799.3512547177 0.0004719965 79070.0
3799.3572531595 0.0006094871 7780245.0
3799.3632516013 0.0008656376 342283104.0
3799.3692500431 0.0011604033 715871168.0
3799.3752484849 0.0014185037 832928768.0
3799.3812469267 0.0015931109 859060096.0
3799.3872453685 0.0016736507 844705920.0
