# wavelength normalized_flux flux
3798.9253653490 0.1236981376 6515354763264.0
3798.9313637908 0.1583473413 6617081839616.0
3798.9373622327 0.1840652259 6664978169856.0
3798.9433606745 0.1996827927 6693583847424.0
3798.9493591163 0.2074701780 6704979771392.0
3798.9553575581 0.2107022561 6699963908096.0
3798.9613559999 0.2119071211 6686956322816.0
3798.9673544418 0.2124659253 6683029405696.0
3798.9733528836 0.2129379227 6701384204288.0
3798.9793513254 0.2134504910 6737815404544.0
3798.9853497672 0.2139440499 6773890088960.0
3798.9913482090 0.2143055507 6793236316160.0
3798.9973466509 0.2144361876 6792848867328.0
3799.0033450927 0.2142704813 6781555179520.0
3799.0093435345 0.2137739625 6773000896512.0
3799.0153419763 0.2129589985 6768811835392.0
3799.0213404181 0.2119240874 6729721970688.0
3799.0273388600 0.2108633364 6617779142656.0
3799.0333373018 0.2099930485 6538847059968.0
3799.0393357436 0.2094281354 6580015726592.0
3799.0453341854 0.2091120369 6621583376384.0
3799.0513326272 0.2088578280 6615635853312.0
3799.0573310690 0.2084506403 6604946669568.0
3799.0633295109 0.2077302640 6593345748992.0
3799.0693279527 0.2066353507 6566615973888.0
3799.0753263945 0.2052353381 6520560418816.0
3799.0813248363 0.2037404515 6433615118336.0
3799.0873232781 0.2024360882 6301710548992.0
3799.0933217199 0.2015323038 6257540333568.0
3799.0993201617 0.2010245202 6339879763968.0
3799.1053186036 0.2006892634 6392194269184.0
3799.1113170454 0.2002258410 6374360088576.0
3799.1173154872 0.1994232224 6331843477504.0
3799.1233139290 0.1982304787 6281566355456.0
3799.1293123708 0.1967160735 6224029417472.0
3799.1353108126 0.1949773770 6159865479168.0
3799.1413092544 0.1930484875 6095312519168.0
3799.1473076963 0.1908157329 6038635413504.0
3799.1533061381 0.1879599637 5990419267584.0
3799.1593045799 0.1840008143 5940080279552.0
3799.1653030217 0.1785373339 5864448065536.0
3799.1713014635 0.1716560991 5680757473280.0
3799.1772999053 0.1642319647 5200706797568.0
3799.1832983471 0.1577398934 4549300977664.0
3799.1892967889 0.1535097825 4296648687616.0
3799.1952952307 0.1519115033 4596192772096.0
3799.2012936725 0.1521248217 4965242765312.0
3799.2072921144 0.1526353677 5009999134720.0
3799.2132905562 0.1519633800 4944161144832.0
3799.2192889980 0.1490991621 4924437954560.0
3799.2252874398 0.1436034023 4838317359104.0
3799.2312858816 0.1356460049 4523677974528.0
3799.2372843234 0.1261000561 4062252367872.0
3799.2432827652 0.1165247515 3525177245696.0
3799.2492812070 0.1088455004 3031787896832.0
3799.2552796488 0.1047548152 2788917772288.0
3799.2612780906 0.1050777073 2838607429632.0
3799.2672765324 0.1094122611 3163844247552.0
3799.2732749742 0.1162472830 3688329379840.0
3799.2792734160 0.1235259894 4175930327040.0
3799.2852718578 0.1293804886 4416978026496.0
3799.2912702997 0.1326670014 4454091325440.0
3799.2972687415 0.1330707853 4401178607616.0
3799.3032671833 0.1308113650 4282341392384.0
3799.3092656251 0.1261741900 4069670518784.0
3799.3152640669 0.1191757205 3859049349120.0
3799.3212625087 0.1096555505 3794232934400.0
3799.3272609505 0.0978651579 3618094448640.0
3799.3332593923 0.0851507325 2664669904896.0
3799.3392578341 0.0740230591 1710675853312.0
3799.3452562759 0.0672694595 1341501210624.0
3799.3512547177 0.0665746049 1363142508544.0
3799.3572531595 0.0715820291 1782640541696.0
3799.3632516013 0.0800361167 2696221556736.0
3799.3692500431 0.0889055048 3345447387136.0
3799.3752484849 0.0957588091 3410450186240.0
3799.3812469267 0.0995642647 3345056006144.0
3799.3872453685 0.1005883328 3262987108352.0
3799.3932438103 0.0997332986 3176661254144.0
3799.3992422521 0.0978958329 3092379074560.0
3799.4052406939 0.0956653189 3015564853248.0
3799.4112391357 0.0933202261 2945921843200.0
3799.4172375775 0.0909434847 2877298311168.0
3799.4232360193 0.0885330537 2804147290112.0
3799.4292344611 0.0860696649 2725547081728.0
3799.4352329029 0.0835456140 2643278954496.0
3799.4412313447 0.0809680421 2559377670144.0
3799.4472297865 0.0783499671 2475427889152.0
3799.4532282283 0.0756995683 2392207130624.0
3799.4592266701 0.0730135728 2309338431488.0
3799.4652251119 0.0702750591 2225444225024.0
3799.4712235537 0.0674506354 2139035926528.0
3799.4772219955 0.0644777551 2049231552512.0
3799.4832204373 0.0612341379 1955580215296.0
3799.4892188791 0.0574975232 1857545175040.0
3799.4952173208 0.0529394239 1754038927360.0
3799.5012157626 0.0472221682 1640312209408.0
3799.5072142044 0.0402207912 1478865977344.0
3799.5132126462 0.0322551818 1116599222272.0
3799.5192110880 0.0241200130 600902270976.0
3799.5252095298 0.0168093359 286595973120.0
3799.5312079716 0.0111009171 155539144704.0
3799.5372064134 0.0073075372 101870043136.0
3799.5432048552 0.0053514023 80931487744.0
3799.5492032970 0.0050474121 77995843584.0
3799.5552017388 0.0063555468 91156389888.0
3799.5612001806 0.0094280274 129261887488.0
3799.5671986224 0.0144215563 222017748992.0
3799.5731970642 0.0211971669 450458386432.0
3799.5791955059 0.0291405209 915759235072.0
3799.5851939477 0.0372912325 1377740128256.0
3799.5911923895 0.0447307271 1590540894208.0
3799.5971908313 0.0509456194 1713425743872.0
3799.6031892731 0.0559152694 1819977449472.0
3799.6091877149 0.0599307136 1920057737216.0
3799.6151861567 0.0633457168 2015434637312.0
3799.6211845985 0.0664274934 2107229470720.0
3799.6271830403 0.0693303880 2196317536256.0
3799.6331814821 0.0721302210 2283309629440.0
3799.6391799238 0.0748627951 2368612335616.0
3799.6451783656 0.0775465862 2452585709568.0
3799.6511768074 0.0801917007 2535635288064.0
3799.6571752492 0.0828015677 2618118111232.0
3799.6631736910 0.0853721243 2700162629632.0
3799.6691721328 0.0878922485 2781691248640.0
3799.6751705746 0.0903490728 2862156087296.0
3799.6811690163 0.0927396665 2939470741504.0
3799.6871674581 0.0950845085 3009859813376.0
3799.6931658999 0.0974316878 3072667418624.0
3799.6991643417 0.0998422674 3136923369472.0
3799.7051627835 0.1023606576 3215547695104.0
3799.7111612253 0.1049893840 3309770113024.0
3799.7171596671 0.1076883420 3407543795712.0
3799.7231581088 0.1104001856 3498187423744.0
3799.7291565506 0.1130820833 3580234825728.0
3799.7351549924 0.1157197028 3657359163392.0
3799.7411534342 0.1183145600 3735129948160.0
3799.7471518760 0.1208556625 3821331546112.0
3799.7531503178 0.1232956530 3905991737344.0
3799.7591487595 0.1255487345 3989435580416.0
3799.7651472013 0.1275191540 4066994552832.0
3799.7711456431 0.1291563873 4126971789312.0
3799.7771440849 0.1305137231 4153760022528.0
3799.7831425267 0.1317706857 4150006120448.0
3799.7891409684 0.1331897896 4152608423936.0
3799.7951394102 0.1350196891 4198621773824.0
3799.8011378520 0.1373968111 4286989467648.0
3799.8071362938 0.1402971552 4398571323392.0
3799.8131347356 0.1435524702 4526382252032.0
3799.8191331773 0.1469095258 4662492135424.0
3799.8251316191 0.1501010265 4787135315968.0
3799.8311300609 0.1528991127 4884940718080.0
3799.8371285027 0.1551192194 4954038206464.0
3799.8431269445 0.1565387477 5000995536896.0
3799.8491253862 0.1567190679 5034234347520.0
3799.8551238280 0.1548024824 5062874103808.0
3799.8611222698 0.1494858858 5078953492480.0
3799.8671207116 0.1394187970 5033750429696.0
3799.8731191533 0.1240350496 4726008578048.0
3799.8791175951 0.1043455958 3624236744704.0
3799.8851160369 0.0829884734 2158343225344.0
3799.8911144787 0.0633148534 1367448485888.0
3799.8971129204 0.0481410197 961582596096.0
3799.9031113622 0.0390815668 758269476864.0
3799.9091098040 0.0367716463 707510206464.0
3799.9151082458 0.0414765183 794694123520.0
3799.9211066875 0.0533504158 1044011089920.0
3799.9271051293 0.0720334510 1520874422272.0
3799.9331035711 0.0959629523 2505407987712.0
3799.9391020129 0.1221872767 4236030509056.0
3799.9451004546 0.1471584438 5433937362944.0
3799.9510988964 0.1680890932 5900143165440.0
3799.9570973382 0.1838808448 6151570194432.0
3799.9630957800 0.1950306174 6345612853248.0
3799.9690942217 0.2028194973 6508002148352.0
3799.9750926635 0.2085067187 6648090329088.0
3799.9810911053 0.2129542127 6774158000128.0
3799.9870895470 0.2166387820 6887998226432.0
3799.9930879888 0.2198190425 6983236190208.0
3799.9990864306 0.2226847109 7054842396672.0
3800.0050848723 0.2254242171 7112351547392.0
3800.0110833141 0.2282141702 7180570853376.0
3800.0170817559 0.2311703216 7277491781632.0
3800.0230801977 0.2343118393 7396141301760.0
3800.0290786394 0.2375711387 7516487942144.0
3800.0350770812 0.2408421828 7627274715136.0
3800.0410755230 0.2440335172 7728893263872.0
3800.0470739647 0.2470965209 7823679291392.0
3800.0530724065 0.2500212407 7912081063936.0
3800.0590708483 0.2528080899 7996623028224.0
3800.0650692900 0.2554241595 8082790285312.0
