# wavelength normalized_flux flux
3798.9253653490 0.2326697374 229444333600768.0
3798.9313637908 0.2987900649 237987526868992.0
3798.9373622327 0.3484252866 241176925962240.0
3798.9433606745 0.3790637965 242783008849920.0
3798.9493591163 0.3946542887 243758150975488.0
3798.9553575581 0.4011206206 244203334402048.0
3798.9613559999 0.4030941404 244028264153088.0
3798.9673544418 0.4031826540 243228209053696.0
3798.9733528836 0.4026075630 242089807839232.0
3798.9793513254 0.4019029334 241155048472576.0
3798.9853497672 0.4012394648 240863712116736.0
3798.9913482090 0.4004899653 241191035600896.0
3798.9973466509 0.3992402896 241653197570048.0
3799.0033450927 0.3968693638 241673246343168.0
3799.0093435345 0.3927474189 240692869726208.0
3799.0153419763 0.3865377757 237670034833408.0
3799.0213404181 0.3784984489 231242616274944.0
3799.0273388600 0.3695981552 221760016351232.0
3799.0333373018 0.3612907346 212344206524416.0
3799.0393357436 0.3549799518 206412856688640.0
3799.0453341854 0.3514371198 205254440255488.0
3799.0513326272 0.3505081472 207982029701120.0
3799.0573310690 0.3512792869 212167072677888.0
3799.0633295109 0.3525765035 214953332047872.0
3799.0693279527 0.3534654834 215076158046208.0
3799.0753263945 0.3534449186 213632075956224.0
3799.0813248363 0.3522641786 212469314224128.0
3799.0873232781 0.3495748121 212347159314432.0
3799.0933217199 0.3447421111 212327043432448.0
3799.0993201617 0.3370178581 210177076756480.0
3799.1053186036 0.3260041044 203627419402240.0
3799.1113170454 0.3121153714 192140797804544.0
3799.1173154872 0.2967269907 177767186432000.0
3799.1233139290 0.2818860068 163964654714880.0
3799.1293123708 0.2697129448 153585027383296.0
3799.1353108126 0.2617588003 147961422020608.0
3799.1413092544 0.2585394164 147221882339328.0
3799.1473076963 0.2593441393 150797811712000.0
3799.1533061381 0.2623443846 157534937677824.0
3799.1593045799 0.2650320974 165368639258624.0
3799.1653030217 0.2649764221 170699532533760.0
3799.1713014635 0.2606972711 168622966177792.0
3799.1772999053 0.2522348786 157531783561216.0
3799.1832983471 0.2410347553 143188689944576.0
3799.1892967889 0.2291739004 132541675732992.0
3799.1952952307 0.2184068134 126741221736448.0
3799.2012936725 0.2095652135 122985516105728.0
3799.2072921144 0.2024816098 119735500931072.0
3799.2132905562 0.1962556375 117863876657152.0
3799.2192889980 0.1896640739 117510800146432.0
3799.2252874398 0.1816657671 115778250604544.0
3799.2312858816 0.1719392197 108603197358080.0
3799.2372843234 0.1612210693 96646788546560.0
3799.2432827652 0.1511971755 85208015568896.0
3799.2492812070 0.1439571928 77732021010432.0
3799.2552796488 0.1412977847 74863612002304.0
3799.2612780906 0.1441698995 76576146325504.0
