# wavelength normalized_flux flux
3798.9253653490 0.1427153412 2080565493760.0
3798.9313637908 0.1827235125 2110590418944.0
3798.9373622327 0.2124735679 2127423209472.0
3798.9433606745 0.2306366009 2137301188608.0
3798.9493591163 0.2398405273 2142049402880.0
3798.9553575581 0.2438511584 2143421464576.0
3798.9613559999 0.2455460698 2144322322432.0
3798.9673544418 0.2464609056 2148541661184.0
3798.9733528836 0.2471880890 2157638975488.0
3798.9793513254 0.2478543645 2168530403328.0
3798.9853497672 0.2484146951 2176312672256.0
3798.9913482090 0.2487911853 2179317628928.0
3798.9973466509 0.2489210513 2179406102528.0
3799.0033450927 0.2487567555 2178155937792.0
3799.0093435345 0.2482628150 2176398393344.0
3799.0153419763 0.2474471903 2174577541120.0
3799.0213404181 0.2464163007 2164674789376.0
3799.0273388600 0.2453832460 2130540363776.0
3799.0333373018 0.2445718571 2105471664128.0
3799.0393357436 0.2440611345 2126068973568.0
3799.0453341854 0.2436845311 2140219244544.0
3799.0513326272 0.2430307654 2136735481856.0
3799.0573310690 0.2414899738 2132055818240.0
3799.0633295109 0.2383415866 2126321549312.0
3799.0693279527 0.2330383984 2115019472896.0
3799.0753263945 0.2257767511 2086010486784.0
3799.0813248363 0.2179979461 1944205656064.0
3799.0873232781 0.2121130309 1620593999872.0
3799.0933217199 0.2102139697 1533388521472.0
3799.0993201617 0.2126498832 1816849940480.0
3799.1053186036 0.2177699667 2017893023744.0
3799.1113170454 0.2230928607 2044111224832.0
3799.1173154872 0.2268016010 2033918935040.0
3799.1233139290 0.2283765354 2019504816128.0
3799.1293123708 0.2282329037 2004429701120.0
3799.1353108126 0.2270312505 1988399464448.0
3799.1413092544 0.2252203389 1971078430720.0
3799.1473076963 0.2228848323 1953832108032.0
3799.1533061381 0.2197423816 1937340628992.0
3799.1593045799 0.2152406925 1919991414784.0
3799.1653030217 0.2088625147 1898014048256.0
3799.1713014635 0.2006725805 1853186244608.0
3799.1772999053 0.1917906339 1706134994944.0
3799.1832983471 0.1842203068 1441876017152.0
3799.1892967889 0.1798280977 1331800702976.0
3799.1952952307 0.1791259696 1488937811968.0
