# wavelength normalized_flux flux
3798.9253653490 0.1400253875 79557474385920.0
3798.9313637908 0.1799768138 83105981399040.0
3798.9373622327 0.2100753913 84263382810624.0
3798.9433606745 0.2287881201 84859661844480.0
3798.9493591163 0.2384822262 85261325172736.0
3798.9553575581 0.2427276180 85514594025472.0
3798.9613559999 0.2443129008 85607095205888.0
3798.9673544418 0.2447882622 85537847246848.0
3798.9733528836 0.2448481527 85369789874176.0
3798.9793513254 0.2447700499 85228240502784.0
3798.9853497672 0.2446382008 85214130864128.0
3798.9913482090 0.2444096324 85311640043520.0
3798.9973466509 0.2439316880 85397765881856.0
3799.0033450927 0.2429750217 85352215740416.0
3799.0093435345 0.2413080768 85099391483904.0
3799.0153419763 0.2388121322 84429225590784.0
3799.0213404181 0.2355967697 82945649934336.0
3799.0273388600 0.2320370400 80683343020032.0
3799.0333373018 0.2286680269 78524308258816.0
3799.0393357436 0.2259621172 77323109924864.0
3799.0453341854 0.2241147758 77144013144064.0
3799.0513326272 0.2229776816 77557428912128.0
3799.0573310690 0.2221803382 77976423104512.0
3799.0633295109 0.2213510411 77860995858432.0
3799.0693279527 0.2202860396 77129937059840.0
3799.0753263945 0.2189613825 76211661307904.0
3799.0813248363 0.2173968265 75574143877120.0
3799.0873232781 0.2154850500 75351468277760.0
3799.0933217199 0.2129240546 75270350438400.0
3799.0993201617 0.2093218174 74734360330240.0
3799.1053186036 0.2044259688 73118353719296.0
3799.1113170454 0.1983431444 70251504992256.0
3799.1173154872 0.1916108566 66645833809920.0
3799.1233139290 0.1850698551 63165517791232.0
3799.1293123708 0.1795955974 60516508631040.0
3799.1353108126 0.1758070884 59034275151872.0
3799.1413092544 0.1738535743 58743630856192.0
3799.1473076963 0.1733271596 59458063433728.0
3799.1533061381 0.1733232852 60823850450944.0
3799.1593045799 0.1726768836 62289227022336.0
3799.1653030217 0.1703726550 62889926852608.0
3799.1713014635 0.1660060259 61117166518272.0
3799.1772999053 0.1600317050 56433706008576.0
3799.1832983471 0.1535706343 51272778514432.0
3799.1892967889 0.1478301682 48504638537728.0
3799.1952952307 0.1435016818 48318600183808.0
3799.2012936725 0.1405059639 48796557901824.0
3799.2072921144 0.1381439703 48555964235776.0
3799.2132905562 0.1354303544 48114748620800.0
3799.2192889980 0.1314135993 47985564057600.0
3799.2252874398 0.1254748521 47084556255232.0
3799.2312858816 0.1176294523 43551853379584.0
3799.2372843234 0.1087038260 37715303202816.0
3799.2432827652 0.1002007632 32181468528640.0
3799.2492812070 0.0938456409 28580396400640.0
3799.2552796488 0.0910306335 27160353964032.0
3799.2612780906 0.0923988292 27843761274880.0
3799.2672765324 0.0976667957 30638723825664.0
3799.2732749742 0.1056787733 35488773701632.0
3799.2792734160 0.1146849725 41492571750400.0
3799.2852718578 0.1228155996 46429074620416.0
3799.2912702997 0.1286033857 48732720594944.0
3799.2972687415 0.1313065611 48819710459904.0
3799.3032671833 0.1308624357 47593023340544.0
3799.3092656251 0.1275477811 45814751690752.0
3799.3152640669 0.1216473542 44179732299776.0
3799.3212625087 0.1134366366 42578556747776.0
3799.3272609505 0.1035169242 38845286449152.0
