# wavelength normalized_flux flux
3798.9253653490 0.1348070282 1471142821888.0
3798.9313637908 0.1726355981 1493636743168.0
3798.9373622327 0.2007953316 1506360295424.0
3798.9433606745 0.2180270323 1513731915776.0
3798.9493591163 0.2268082840 1517376503808.0
3798.9553575581 0.2306911188 1518932459520.0
3798.9613559999 0.2323856759 1520607428608.0
3798.9673544418 0.2333309821 1524732133376.0
3798.9733528836 0.2340758561 1531817361408.0
3798.9793513254 0.2347365549 1539402629120.0
3798.9853497672 0.2352774642 1544314945536.0
3798.9913482090 0.2356392669 1546002759680.0
3798.9973466509 0.2357782898 1546232135680.0
3799.0033450927 0.2356627279 1545872474112.0
3799.0093435345 0.2352678844 1544852340736.0
3799.0153419763 0.2346014053 1543325483008.0
3799.0213404181 0.2337474539 1537177944064.0
3799.0273388600 0.2328727098 1516904906752.0
3799.0333373018 0.2321488294 1501591896064.0
3799.0393357436 0.2316239909 1513186263040.0
3799.0453341854 0.2311259088 1520481468416.0
3799.0513326272 0.2302250325 1517528940544.0
3799.0573310690 0.2282249740 1513830350848.0
3799.0633295109 0.2242358457 1509013848064.0
3799.0693279527 0.2175472075 1499913650176.0
3799.0753263945 0.2083908054 1474429059072.0
3799.0813248363 0.1986075257 1336575918080.0
3799.0873232781 0.1912995360 1026773680128.0
3799.0933217199 0.1891690915 948346617856.0
3799.0993201617 0.1926801843 1216702447616.0
3799.1053186036 0.1997188804 1417791668224.0
3799.1113170454 0.2070905960 1446824902656.0
3799.1173154872 0.2124444190 1440794148864.0
3799.1233139290 0.2150955739 1430879338496.0
3799.1293123708 0.2155667626 1420630949888.0
3799.1353108126 0.2147062200 1409902051328.0
3799.1413092544 0.2131111487 1398082764800.0
3799.1473076963 0.2109571351 1385943662592.0
3799.1533061381 0.2080231702 1373999333376.0
3799.1593045799 0.2038094206 1361387978752.0
3799.1653030217 0.1978349679 1345874821120.0
3799.1713014635 0.1901588912 1315639394304.0
3799.1772999053 0.1818374126 1214421925888.0
3799.1832983471 0.1747730038 1024570884096.0
3799.1892967889 0.1707464199 944073605120.0
3799.1952952307 0.1702495437 1060215652352.0
3799.2012936725 0.1721173534 1185617543168.0
3799.2072921144 0.1742676965 1202267357184.0
3799.2132905562 0.1748325303 1187055009792.0
3799.2192889980 0.1727963835 1175990304768.0
3799.2252874398 0.1679742972 1152465371136.0
3799.2312858816 0.1607661132 1085279567872.0
3799.2372843234 0.1520539459 1011514015744.0
3799.2432827652 0.1432071250 933394776064.0
3799.2492812070 0.1359254876 817152786432.0
3799.2552796488 0.1317477635 746561208320.0
3799.2612780906 0.1313798654 764286992384.0
3799.2672765324 0.1342818235 849293934592.0
3799.2732749742 0.1388676381 944319692800.0
3799.2792734160 0.1432218017 997257117696.0
3799.2852718578 0.1458475499 1006222770176.0
3799.2912702997 0.1460118092 994625912832.0
3799.2972687415 0.1436234383 975867346944.0
3799.3032671833 0.1388551009 946104762368.0
3799.3092656251 0.1317261259 885046444032.0
3799.3152640669 0.1218454667 813606436864.0
3799.3212625087 0.1086212746 800204914688.0
3799.3272609505 0.0921198257 784797990912.0
