# wavelength normalized_flux flux
3798.9253653490 0.1022419551 9108081082368.0
3798.9313637908 0.1308955115 9265007820800.0
3798.9373622327 0.1521684481 9330589958144.0
3798.9433606745 0.1650890641 9369395658752.0
3798.9493591163 0.1715295041 9385375956992.0
3798.9553575581 0.1741936023 9379323576320.0
3798.9613559999 0.1751686916 9361859543040.0
3798.9673544418 0.1755961994 9354599202816.0
3798.9733528836 0.1759424700 9375115640832.0
3798.9793513254 0.1763210297 9420141494272.0
3798.9853497672 0.1766915896 9467458486272.0
3798.9913482090 0.1769661848 9494708879360.0
3798.9973466509 0.1770638619 9495556128768.0
3799.0033450927 0.1769289709 9480833073152.0
3799.0093435345 0.1765322033 9468853092352.0
3799.0153419763 0.1758825410 9459999965184.0
3799.0213404181 0.1750547792 9403992375296.0
3799.0273388600 0.1741956600 9264314712064.0
3799.0333373018 0.1734709620 9164618203136.0
3799.0393357436 0.1729757801 9199330263040.0
3799.0453341854 0.1726814620 9245752819712.0
3799.0513326272 0.1724630775 9242319781888.0
3799.0573310690 0.1721753035 9230015791104.0
3799.0633295109 0.1717157820 9214212702208.0
3799.0693279527 0.1710520281 9179403124736.0
3799.0753263945 0.1702246452 9124750295040.0
3799.0813248363 0.1693337712 9045712830464.0
3799.0873232781 0.1684983625 8948852719616.0
3799.0933217199 0.1677921733 8909207109632.0
3799.0993201617 0.1671948181 8941981401088.0
3799.1053186036 0.1666000579 8952973623296.0
3799.1113170454 0.1658786146 8913588060160.0
3799.1173154872 0.1649465312 8851549061120.0
3799.1233139290 0.1637931747 8779119722496.0
3799.1293123708 0.1624627403 8696728911872.0
3799.1353108126 0.1610090106 8607000690688.0
3799.1413092544 0.1594377335 8519551549440.0
3799.1473076963 0.1576428945 8444764487680.0
3799.1533061381 0.1553624545 8382058594304.0
3799.1593045799 0.1522180366 8315902361600.0
3799.1653030217 0.1479055541 8209790664704.0
3799.1713014635 0.1425022019 7941947129856.0
3799.1772999053 0.1366775843 7299451060224.0
3799.1832983471 0.1315373166 6496142753792.0
3799.1892967889 0.1280697122 6183436419072.0
3799.1952952307 0.1265578408 6511081816064.0
3799.2012936725 0.1264166633 6931593297920.0
3799.2072921144 0.1265407812 6986188980224.0
3799.2132905562 0.1258128929 6906937606144.0
3799.2192889980 0.1234181124 6888903671808.0
3799.2252874398 0.1189510263 6785645674496.0
3799.2312858816 0.1125014676 6371955703808.0
3799.2372843234 0.1047646698 5702952157184.0
3799.2432827652 0.0970191037 4935799275520.0
3799.2492812070 0.0908357791 4297490169856.0
3799.2552796488 0.0875792085 3994089684992.0
3799.2612780906 0.0879149967 4058912653312.0
3799.2672765324 0.0915462450 4476103032832.0
3799.2732749742 0.0973009081 5173215756288.0
3799.2792734160 0.1035451757 5878072213504.0
3799.2852718578 0.1087436870 6276059234304.0
3799.2912702997 0.1119016746 6369728528384.0
3799.2972687415 0.1126887545 6313498640384.0
3799.3032671833 0.1112295859 6157669761024.0
3799.3092656251 0.1077275494 5888789708800.0
3799.3152640669 0.1021869835 5631726059520.0
3799.3212625087 0.0944887713 5533513809920.0
3799.3272609505 0.0848695119 5229087555584.0
3799.3332593923 0.0744675045 3953719771136.0
3799.3392578341 0.0653678987 2654210097152.0
3799.3452562759 0.0598751123 2089272082432.0
3799.3512547177 0.0593864724 2122787848192.0
3799.3572531595 0.0636203183 2757329682432.0
3799.3632516013 0.0707272306 4002286927872.0
3799.3692500431 0.0782099081 4910930722816.0
3799.3752484849 0.0840534870 5041757356032.0
3799.3812469267 0.0873868387 4961598963712.0
3799.3872453685 0.0884087338 4852736327680.0
3799.3932438103 0.0878520080 4737623130112.0
3799.3992422521 0.0864565944 4625249861632.0
3799.4052406939 0.0847148199 4522839638016.0
3799.4112391357 0.0828618326 4429887045632.0
3799.4172375775 0.0809680290 4338027593728.0
3799.4232360193 0.0790307644 4239285288960.0
3799.4292344611 0.0770317522 4131736256512.0
3799.4352329029 0.0749619672 4017612128256.0
3799.4412313447 0.0728246910 3899941191680.0
3799.4472297865 0.0706276947 3781099520000.0
3799.4532282283 0.0683735829 3662045773824.0
3799.4592266701 0.0660534719 3541867429888.0
3799.4652251119 0.0636440718 3418136772608.0
3799.4712235537 0.0611029765 3288183603200.0
3799.4772219955 0.0583534035 3150137262080.0
3799.4832204373 0.0552536021 3002752303104.0
3799.4892188791 0.0515668593 2844677898240.0
3799.4952173208 0.0469821952 2673324589056.0
3799.5012157626 0.0412436135 2474488627200.0
3799.5072142044 0.0343718047 2147108651008.0
3799.5132126462 0.0268311982 1443243360256.0
3799.5192110880 0.0194577109 704358711296.0
3799.5252095298 0.0131305257 335831793664.0
3799.5312079716 0.0084090367 186993623040.0
3799.5372064134 0.0053966585 125158760448.0
3799.5432048552 0.0038903064 100660355072.0
3799.5492032970 0.0036594126 97202290688.0
3799.5552017388 0.0046587206 112657940480.0
3799.5612001806 0.0070659929 156856270848.0
3799.5671986224 0.0111286987 262604718080.0
3799.5731970642 0.0168900377 523939217408.0
3799.5791955059 0.0239645230 1125441601536.0
3799.5851939477 0.0315580984 1931461263360.0
3799.5911923895 0.0387696797 2379163631616.0
3799.5971908313 0.0449687949 2604142428160.0
3799.6031892731 0.0499778289 2782951899136.0
3799.6091877149 0.0539780012 2945865744384.0
3799.6151861567 0.0572837995 3097408045056.0
3799.6211845985 0.0601684418 3239850541056.0
3799.6271830403 0.0628057402 3375045541888.0
3799.6331814821 0.0652881519 3504382935040.0
3799.6391799238 0.0676624980 3628869877760.0
3799.6451783656 0.0699546896 3749385863168.0
3799.6511768074 0.0721806704 3866887979008.0
3799.6571752492 0.0743491353 3982268039168.0
3799.6631736910 0.0764611930 4096043778048.0
3799.6691721328 0.0785109372 4208261332992.0
3799.6751705746 0.0804902419 4318012899328.0
3799.6811690163 0.0823988405 4422134923264.0
3799.6871674581 0.0842555815 4515630678016.0
3799.6931658999 0.0861017139 4598507503616.0
3799.6991643417 0.0879887170 4683379769344.0
3799.7051627835 0.0899541268 4787084984320.0
3799.7111612253 0.0920009802 4911265742848.0
3799.7171596671 0.0940968580 5040467607552.0
3799.7231581088 0.0961940138 5160154169344.0
3799.7291565506 0.0982551275 5267635306496.0
3799.7351549924 0.1002648071 5367732371456.0
3799.7411534342 0.1022175780 5466943913984.0
3799.7471518760 0.1040894331 5570532737024.0
3799.7531503178 0.1058124185 5684988477440.0
3799.7591487595 0.1072756571 5793477296128.0
3799.7651472013 0.1083685530 5883038269440.0
3799.7711456431 0.1090591701 5928105541632.0
3799.7771440849 0.1094679779 5897606135808.0
3799.7831425267 0.1098783375 5812283506688.0
3799.7891409684 0.1106505316 5763766943744.0
3799.7951394102 0.1120726693 5831357104128.0
3799.8011378520 0.1142358230 6007114694656.0
3799.8071362938 0.1170072595 6226768822272.0
3799.8131347356 0.1201044260 6444692799488.0
3799.8191331773 0.1232102056 6645607301120.0
3799.8251316191 0.1260639266 6817285406720.0
3799.8311300609 0.1284954710 6950279970816.0
3799.8371285027 0.1303959176 7045553061888.0
3799.8431269445 0.1316209317 7112548679680.0
3799.8491253862 0.1318304167 7163025031168.0
3799.8551238280 0.1303225509 7209285058560.0
3799.8611222698 0.1260197653 7240779563008.0
3799.8671207116 0.1177988039 7184968056832.0
3799.8731191533 0.1051660929 6733778911232.0
3799.8791175951 0.0889024774 5205100855296.0
3799.8851160369 0.0711250595 3260280209408.0
3799.8911144787 0.0545869883 2069834366976.0
3799.8971129204 0.0416891307 1412377214976.0
3799.9031113622 0.0339077580 1095390199808.0
3799.9091098040 0.0318975992 1018413449216.0
3799.9151082458 0.0359140091 1151203016704.0
3799.9211066875 0.0460012899 1544430551040.0
3799.9271051293 0.0617079739 2315925585920.0
3799.9331035711 0.0816098577 3731192545280.0
3799.9391020129 0.1032253250 6005429108736.0
3799.9451004546 0.1236656458 7699298254848.0
3799.9510988964 0.1406972962 8365592281088.0
3799.9570973382 0.1534615989 8692818771968.0
3799.9630957800 0.1623936947 8937020588032.0
3799.9690942217 0.1685680957 9144982568960.0
3799.9750926635 0.1730369535 9330345639936.0
3799.9810911053 0.1765123181 9501452271616.0
3799.9870895470 0.1793724502 9656690802688.0
3799.9930879888 0.1818063665 9783849517056.0
3799.9990864306 0.1839495260 9874252496896.0
3800.0050848723 0.1859512759 9940007649280.0
3800.0110833141 0.1879728550 10014202789888.0
3800.0170817559 0.1901459444 10124074680320.0
3800.0230801977 0.1925333530 10268169994240.0
3800.0290786394 0.1951211067 10426731462656.0
3800.0350770812 0.1978426689 10585586532352.0
3800.0410755230 0.2006140268 10741929213952.0
3800.0470739647 0.2033577061 10895115681792.0
3800.0530724065 0.2060076694 11042124988416.0
3800.0590708483 0.2084992117 11181632782336.0
3800.0650692900 0.2107493689 11314788302848.0
3800.0710677318 0.2126250673 11437174947840.0
3800.0770661736 0.2138884471 11535996944384.0
3800.0830646153 0.2141275830 11602790187008.0
3800.0890630571 0.2127540290 11642402242560.0
3800.0950614989 0.2092328317 11651459842048.0
3800.1010599406 0.2036357842 11543701880832.0
3800.1070583824 0.1972447643 10891066081280.0
3800.1130568242 0.1925472749 9307871510528.0
3800.1190552659 0.1921824214 8354736373760.0
3800.1250537077 0.1973535992 9366707109888.0
3800.1310521495 0.2069820261 11320832294912.0
3800.1370505912 0.2183795489 12422646595584.0
3800.1430490330 0.2288565236 12834474819584.0
3800.1490474747 0.2369595108 13021720084480.0
3800.1550459165 0.2426261910 13130088316928.0
3800.1610443583 0.2465703435 13228765609984.0
3800.1670428000 0.2495992889 13350205390848.0
3800.1730412418 0.2522625435 13493550972928.0
3800.1790396836 0.2548169834 13641808084992.0
3800.1850381253 0.2573313461 13783306076160.0
3800.1910365671 0.2597937594 13917015244800.0
3800.1970350088 0.2621706457 14044907962368.0
3800.2030334506 0.2644177532 14167928995840.0
3800.2090318924 0.2664631818 14287638626304.0
3800.2150303341 0.2681869045 14404407001088.0
3800.2210287759 0.2694230021 14510754627584.0
3800.2270272176 0.2700073858 14585415335936.0
3800.2330256594 0.2698752313 14591683723264.0
3800.2390241012 0.2691761509 14498139209728.0
3800.2450225429 0.2683370638 14328065425408.0
3800.2510209847 0.2679933781 14151079428096.0
3800.2570194264 0.2687593831 14041162448896.0
3800.2630178682 0.2709214753 14152480325632.0
3800.2690163099 0.2742465178 14584904679424.0
3800.2750147517 0.2780783539 15085250543616.0
3800.2810131935 0.2816984979 15339083530240.0
3800.2870116352 0.2847005343 15363089629184.0
3800.2930100770 0.2871039212 15336269152256.0
3800.2990085187 0.2891525558 15388717875200.0
3800.3050069605 0.2909922423 15547997618176.0
3800.3110054022 0.2924760259 15754246225920.0
3800.3170038440 0.2931962460 15916244926464.0
3800.3230022857 0.2926436235 15947601543168.0
3800.3290007275 0.2903120920 15798006448128.0
3800.3349991693 0.2856924687 15527392051200.0
3800.3409976110 0.2783667059 15296483033088.0
3800.3469960528 0.2685182333 15143362625536.0
3800.3529944945 0.2577484321 14466274033664.0
3800.3589929363 0.2493447278 12265889726464.0
3800.3649913780 0.2470872206 10408920350720.0
3800.3709898198 0.2529432624 11351738023936.0
3800.3769882615 0.2654689522 14388565114880.0
3800.3829867033 0.2804882076 16424486567936.0
3800.3889851450 0.2935914956 16923937996800.0
3800.3949835868 0.3024088608 16852569817088.0
3800.4009820285 0.3071187231 16572764651520.0
3800.4069804703 0.3093699844 16345043304448.0
3800.4129789120 0.3108378770 16393103736832.0
3800.4189773538 0.3124059882 16691044024320.0
3800.4249757955 0.3141860856 16978013061120.0
3800.4309742373 0.3160098387 17051686010880.0
3800.4369726790 0.3178813099 16974570586112.0
3800.4429711208 0.3200780214 16938565632000.0
3800.4489695625 0.3229240709 17064661090304.0
3800.4549680043 0.3264882366 17357102645248.0
3800.4609664460 0.3304507650 17731837493248.0
3800.4669648878 0.3342026900 18069221015552.0
3800.4729633295 0.3370658475 18288759275520.0
3800.4789617713 0.3384692165 18379089903616.0
3800.4849602130 0.3379839492 18361836634112.0
3800.4909586548 0.3352257602 18251211866112.0
3800.4969570965 0.3297077177 18040582307840.0
3800.5029555382 0.3207517956 17700359241728.0
3800.5089539800 0.3075600464 17173914320896.0
3800.5149524217 0.2895017643 16364146262016.0
3800.5209508635 0.2665614766 15115893080064.0
3800.5269493052 0.2397359554 13304264130560.0
3800.5329477470 0.2111008162 11118093271040.0
3800.5389461887 0.1834277802 9087283625984.0
3800.5449446305 0.1595527278 7567965159424.0
3800.5509430722 0.1418786989 6534390087680.0
3800.5569415139 0.1322321747 5892816240640.0
3800.5629399557 0.1319131090 5673149005824.0
3800.5689383974 0.1415644190 5990746423296.0
3800.5749368392 0.1606828075 7055499329536.0
3800.5809352809 0.1870815735 9133737639936.0
3800.5869337227 0.2169521536 12027973074944.0
3800.5929321644 0.2459092867 14594066087936.0
3800.5989306061 0.2706011848 15891190251520.0
3800.6049290479 0.2898318757 16188017999872.0
3800.6109274896 0.3043971110 16274111332352.0
3800.6169259314 0.3158470274 16710030589952.0
3800.6229243731 0.3252251738 17572377395200.0
3800.6289228148 0.3327301358 18448337862656.0
3800.6349212566 0.3383500360 18748842967040.0
3800.6409196983 0.3426725888 18395550449664.0
3800.6469181401 0.3470037034 17998337277952.0
3800.6529165818 0.3526286501 18163938885632.0
3800.6589150235 0.3598248580 18964505690112.0
3800.6649134653 0.3673795971 19982677180416.0
3800.6709119070 0.3728471875 20738759196672.0
3800.6769103487 0.3732134105 21061739479040.0
3800.6829087905 0.3655811670 20982983032832.0
3800.6889072322 0.3478607764 20449327054848.0
3800.6949056740 0.3196420032 19112449277952.0
3800.7009041157 0.2830776020 16364165136384.0
3800.7069025574 0.2431174349 12422336217088.0
3800.7129009992 0.2065532203 8973950386176.0
3800.7188994409 0.1801607129 7052197888000.0
3800.7248978826 0.1689034794 6426642087936.0
3800.7308963244 0.1749392174 6819409821696.0
3800.7368947661 0.1974160614 8315722006528.0
