# wavelength normalized_flux flux
3798.9253653490 0.0788335908 15490645753856.0
3798.9313637908 0.1009475761 15784388591616.0
3798.9373622327 0.1173837416 15892416036864.0
3798.9433606745 0.1273928290 15956986298368.0
3798.9493591163 0.1324148615 15990923460608.0
3798.9553575581 0.1345245181 15996756688896.0
3798.9613559999 0.1353145965 15986500567040.0
3798.9673544418 0.1356486909 15983432433664.0
3798.9733528836 0.1358799820 16007714308096.0
3798.9793513254 0.1361050714 16059113406464.0
3798.9853497672 0.1363130206 16115976634368.0
3798.9913482090 0.1364559038 16152229052416.0
3798.9973466509 0.1364814048 16156278652928.0
3799.0033450927 0.1363457145 16137204006912.0
3799.0093435345 0.1360203145 16116331053056.0
3799.0153419763 0.1355072275 16089947832320.0
3799.0213404181 0.1348612608 15985858838528.0
3799.0273388600 0.1341930682 15766897295360.0
3799.0333373018 0.1336292152 15607645863936.0
3799.0393357436 0.1332460595 15637456879616.0
3799.0453341854 0.1330288192 15708989685760.0
3799.0513326272 0.1328887073 15723615223808.0
3799.0573310690 0.1327188752 15713937915904.0
3799.0633295109 0.1324444983 15686388678656.0
3799.0693279527 0.1320422551 15628374114304.0
3799.0753263945 0.1315336354 15547173437440.0
3799.0813248363 0.1309646641 15452522676224.0
3799.0873232781 0.1303794713 15356172173312.0
3799.0933217199 0.1297952395 15298033876992.0
3799.0993201617 0.1291910865 15276904022016.0
3799.1053186036 0.1285199041 15230268604416.0
3799.1113170454 0.1277369298 15135738429440.0
3799.1173154872 0.1268261331 15010737684480.0
3799.1233139290 0.1258083268 14868502544384.0
3799.1293123708 0.1247278965 14717719412736.0
3799.1353108126 0.1236233820 14570366173184.0
3799.1413092544 0.1224868469 14441014886400.0
3799.1473076963 0.1212187848 14337877999616.0
3799.1533061381 0.1196011123 14252790251520.0
3799.1593045799 0.1173349450 14158689992704.0
3799.1653030217 0.1141863299 13988428513280.0
3799.1713014635 0.1102079821 13525416148992.0
3799.1772999053 0.1058832106 12470910451712.0
3799.1832983471 0.1020064976 11220985839616.0
3799.1892967889 0.0992908011 10719876612096.0
3799.1952952307 0.0979570528 11157887778816.0
3799.2012936725 0.0976160743 11746254258176.0
3799.2072921144 0.0974941146 11824339615744.0
3799.2132905562 0.0967680147 11709457629184.0
3799.2192889980 0.0947861704 11701028126720.0
3799.2252874398 0.0911807877 11553533329408.0
3799.2312858816 0.0859871579 10834427248640.0
3799.2372843234 0.0797615688 9566730321920.0
3799.2432827652 0.0735529999 8167265140736.0
3799.2492812070 0.0686386317 7101080928256.0
3799.2552796488 0.0661087010 6616333680640.0
3799.2612780906 0.0664885810 6738828328960.0
3799.2672765324 0.0695526555 7447895867392.0
3799.2732749742 0.0743937507 8651666358272.0
3799.2792734160 0.0797246097 9952025378816.0
3799.2852718578 0.0842987493 10777514737664.0
3799.2912702997 0.0872672554 11031495573504.0
3799.2972687415 0.0883063778 10968788631552.0
3799.3032671833 0.0874763404 10710858858496.0
3799.3092656251 0.0849279672 10275751198720.0
3799.3152640669 0.0806762460 9869699579904.0
3799.3212625087 0.0746536557 9678581923840.0
3799.3272609505 0.0670804762 9063059423232.0
3799.3332593923 0.0588824642 6905153978368.0
3799.3392578341 0.0517168399 4670444011520.0
3799.3452562759 0.0474019230 3648681148416.0
3799.3512547177 0.0470403531 3708437397504.0
3799.3572531595 0.0504171561 4846863253504.0
3799.3632516013 0.0560842257 6979079110656.0
3799.3692500431 0.0620765305 8565347581952.0
3799.3752484849 0.0667963210 8855311351808.0
3799.3812469267 0.0695363523 8731483963392.0
3799.3872453685 0.0704316303 8546885304320.0
3799.3932438103 0.0700465042 8350905401344.0
3799.3992422521 0.0689614810 8157143236608.0
3799.4052406939 0.0675688910 7975056965632.0
3799.4112391357 0.0660611964 7803933032448.0
3799.4172375775 0.0645013503 7632755097600.0
3799.4232360193 0.0628935099 7450356350976.0
3799.4292344611 0.0612270508 7253137031168.0
3799.4352329029 0.0594957135 7043766812672.0
3799.4412313447 0.0577004987 6826976870400.0
3799.4472297865 0.0558445155 6606582972416.0
3799.4532282283 0.0539262375 6383724920832.0
3799.4592266701 0.0519348321 6156303990784.0
3799.4652251119 0.0498473246 5919782469632.0
3799.4712235537 0.0476231572 5669225234432.0
3799.4772219955 0.0451896921 5401041436672.0
3799.4832204373 0.0424183774 5112830885888.0
3799.4892188791 0.0391115303 4802241101824.0
3799.4952173208 0.0350434996 4462906703872.0
3799.5012157626 0.0300882954 4047468756992.0
3799.5072142044 0.0243877975 3285458616320.0
3799.5132126462 0.0184243478 1919848939520.0
3799.5192110880 0.0128849920 864057032704.0
3799.5252095298 0.0083730444 412755427328.0
3799.5312079716 0.0051716667 235616600064.0
3799.5372064134 0.0032197357 161015267328.0
3799.5432048552 0.0022769166 131016450048.0
3799.5492032970 0.0021346780 126754267136.0
3799.5552017388 0.0027545181 145748377600.0
3799.5612001806 0.0042909402 199417872384.0
3799.5671986224 0.0069953052 325709004800.0
3799.5731970642 0.0110226683 639185125376.0
3799.5791955059 0.0162306156 1432001839104.0
