# wavelength normalized_flux flux
3798.9253653490 0.3346787392 639814902743040.0
3798.9313637908 0.4286623062 651416481824768.0
3798.9373622327 0.4985970766 657003026317312.0
3798.9433606745 0.5412534589 659920718397440.0
3798.9493591163 0.5626523455 661563946041344.0
3798.9553575581 0.5714817959 662269595746304.0
3798.9613559999 0.5743932439 662068940242944.0
3798.9673544418 0.5750045052 661119349817344.0
3798.9733528836 0.5748706108 659895552573440.0
3798.9793513254 0.5745450753 659059644563456.0
3798.9853497672 0.5741144815 659064275075072.0
3798.9913482090 0.5733597614 659763079675904.0
3798.9973466509 0.5718121519 660414908071936.0
3799.0033450927 0.5688648294 659886559985664.0
3799.0093435345 0.5639973864 656595071533056.0
3799.0153419763 0.5570810352 648469463171072.0
3799.0213404181 0.5486417420 634301439803392.0
3799.0273388600 0.5399092354 616170369581056.0
3799.0333373018 0.5325408133 599584212516864.0
3799.0393357436 0.5280812244 590193937612800.0
3799.0453341854 0.5273960860 590611153420288.0
3799.0513326272 0.5303598898 599733932392448.0
3799.0573310690 0.5359479145 613649223778304.0
3799.0633295109 0.5426607331 627404393414656.0
3799.0693279527 0.5490422861 637414955548672.0
3799.0753263945 0.5540353028 642989823098880.0
3799.0813248363 0.5570498181 645550093369344.0
3799.0873232781 0.5578084069 646523440332800.0
3799.0933217199 0.5561524325 645963886624768.0
3799.0993201617 0.5519776739 642594283454464.0
3799.1053186036 0.5453435242 634835961905152.0
3799.1113170454 0.5366627952 622119704592384.0
3799.1173154872 0.5268171110 605715412549632.0
3799.1233139290 0.5170820672 588548898029568.0
3799.1293123708 0.5088480083 574133310062592.0
3799.1353108126 0.5032209586 565325875642368.0
3799.1413092544 0.5006384289 563500917194752.0
3799.1473076963 0.5006332770 568288933314560.0
3799.1533061381 0.5018470874 577513315106816.0
3799.1593045799 0.5023411820 587195312242688.0
3799.1653030217 0.5001621476 591828172668928.0
3799.1713014635 0.4939901922 586101773303808.0
3799.1772999053 0.4836001061 568571730067456.0
3799.1832983471 0.4699003320 543687427751936.0
3799.1892967889 0.4545097693 518329907281920.0
3799.1952952307 0.4390633921 496766252220416.0
3799.2012936725 0.4245464124 480028798222336.0
3799.2072921144 0.4109104150 468599084941312.0
3799.2132905562 0.3971195096 460830999052288.0
3799.2192889980 0.3816668129 452603888533504.0
3799.2252874398 0.3634384363 435919484092416.0
3799.2312858816 0.3425774013 404134310182912.0
3799.2372843234 0.3208895805 363179213324288.0
3799.2432827652 0.3015288707 325104563126272.0
3799.2492812070 0.2881077697 299380124942336.0
3799.2552796488 0.2836563314 289414794182656.0
3799.2612780906 0.2897896654 295957841313792.0
3799.2672765324 0.3062140527 320183537238016.0
3799.2732749742 0.3306062562 362383805513728.0
3799.2792734160 0.3589683620 416572166373376.0
3799.2852718578 0.3865326183 468561034215424.0
3799.2912702997 0.4090091904 503706583826432.0
3799.2972687415 0.4236505823 517865815932928.0
3799.3032671833 0.4296227762 516299360829440.0
3799.3092656251 0.4276041630 506536631730176.0
3799.3152640669 0.4190362261 493474226896896.0
3799.3212625087 0.4055958327 477547414421504.0
3799.3272609505 0.3891389051 454514511446016.0
3799.3332593923 0.3718730162 423752747712512.0
3799.3392578341 0.3562851130 392572191113216.0
3799.3452562759 0.3445818546 371529770598400.0
3799.3512547177 0.3378853778 366558949933056.0
3799.3572531595 0.3357306910 375556235329536.0
3799.3632516013 0.3362624160 389910955556864.0
3799.3692500431 0.3370558739 399400182480896.0
3799.3752484849 0.3360808889 399134095835136.0
3799.3812469267 0.3322919165 391254877667328.0
3799.3872453685 0.3256436349 379676249817088.0
3799.3932438103 0.3167069343 366782086905856.0
3799.3992422521 0.3062198326 353423799091200.0
3799.4052406939 0.2948101746 339688158134272.0
3799.4112391357 0.2829309603 325535334924288.0
3799.4172375775 0.2709185496 310981200707584.0
3799.4232360193 0.2590644943 296309961523200.0
3799.4292344611 0.2476386555 282147105538048.0
3799.4352329029 0.2368585842 269207006609408.0
3799.4412313447 0.2268368131 257866128687104.0
3799.4472297865 0.2175429358 247967353143296.0
3799.4532282283 0.2087941158 238954146168832.0
3799.4592266701 0.2002549300 230243331735552.0
3799.4652251119 0.1914174048 221486715502592.0
3799.4712235537 0.1815708447 212545231126528.0
3799.4772219955 0.1698435233 203086706507776.0
3799.4832204373 0.1554262063 191521567539200.0
3799.4892188791 0.1379810294 173049903054848.0
3799.4952173208 0.1180295839 142456716787712.0
3799.5012157626 0.0970062559 106228852195328.0
3799.5072142044 0.0768394079 75405918732288.0
3799.5132126462 0.0592741618 53538889662464.0
3799.5192110880 0.0453401702 39302679494656.0
3799.5252095298 0.0352220198 30742071476224.0
3799.5312079716 0.0284876025 25989279121408.0
3799.5372064134 0.0244529794 23511380787200.0
3799.5432048552 0.0224924577 22398936023040.0
3799.5492032970 0.0222243742 22251407671296.0
3799.5552017388 0.0235906916 23017224667136.0
3799.5612001806 0.0268652417 24968375042048.0
3799.5671986224 0.0325966289 28822508404736.0
3799.5731970642 0.0414576599 35912041889792.0
3799.5791955059 0.0539737890 48042434625536.0
3799.5851939477 0.0701693726 67104233488384.0
3799.5911923895 0.0892865156 94772656078848.0
3799.5971908313 0.1097956041 129343158222848.0
3799.6031892731 0.1298017967 161750095757312.0
3799.6091877149 0.1476769536 183173526847488.0
3799.6151861567 0.1625479384 196411454914560.0
3799.6211845985 0.1743742260 206531186393088.0
3799.6271830403 0.1836689334 215254734733312.0
3799.6331814821 0.1911423264 222659107356672.0
3799.6391799238 0.1974966273 228625722900480.0
3799.6451783656 0.2033982752 233466503364608.0
3799.6511768074 0.2095157809 238090673192960.0
3799.6571752492 0.2165140135 243797225111552.0
3799.6631736910 0.2249727421 251889631363072.0
3799.6691721328 0.2352653418 263322481983488.0
3799.6751705746 0.2474605148 278395636154368.0
3799.6811690163 0.2613002555 296552157413376.0
3799.6871674581 0.2762738328 316430574682112.0
3799.6931658999 0.2917642697 336387442212864.0
3799.6991643417 0.3072095435 355246710718464.0
3799.7051627835 0.3222132248 372620692291584.0
3799.7111612253 0.3365604334 388721048289280.0
3799.7171596671 0.3501273201 403979959795712.0
3799.7231581088 0.3626971639 418788302389248.0
3799.7291565506 0.3737174827 433435583709184.0
3799.7351549924 0.3820753753 447766480289792.0
3799.7411534342 0.3860395829 460538337296384.0
