# wavelength normalized_flux flux
3798.9253653490 0.1217153392 979158499328.0
3798.9313637908 0.1559252019 995582935040.0
3798.9373622327 0.1814326517 1004984467456.0
3798.9433606745 0.1970915314 1010362220544.0
3798.9493591163 0.2051294570 1013076131840.0
3798.9553575581 0.2087469861 1014545055744.0
3798.9613559999 0.2103847708 1016416763904.0
3798.9673544418 0.2113332925 1020037431296.0
3798.9733528836 0.2120789194 1025336213504.0
3798.9793513254 0.2127227672 1030447693824.0
3798.9853497672 0.2132377378 1033413132288.0
3798.9913482090 0.2135825080 1034284564480.0
3798.9973466509 0.2137322453 1034572398592.0
3799.0033450927 0.2136715848 1034698424320.0
3799.0093435345 0.2133879136 1034159783936.0
3799.0153419763 0.2128886074 1032976596992.0
3799.0213404181 0.2122323556 1029504106496.0
3799.0273388600 0.2115331181 1018917093376.0
3799.0333373018 0.2109045638 1010529992704.0
3799.0393357436 0.2103639063 1015707205632.0
3799.0453341854 0.2097426163 1018337165312.0
3799.0513326272 0.2086149729 1015912595456.0
3799.0573310690 0.2062367545 1013077639168.0
3799.0633295109 0.2016038520 1009152753664.0
3799.0693279527 0.1938931677 1001973743616.0
3799.0753263945 0.1833671024 980936097792.0
3799.0813248363 0.1721559736 860741697536.0
3799.0873232781 0.1638534344 598417735680.0
3799.0933217199 0.1615918177 536583176192.0
3799.0993201617 0.1659157471 759100014592.0
3799.1053186036 0.1743852387 936674394112.0
3799.1113170454 0.1832993816 963858661376.0
3799.1173154872 0.1899209627 960818446336.0
3799.1233139290 0.1934373648 954380255232.0
3799.1293123708 0.1944405118 947747684352.0
3799.1353108126 0.1939114119 940892356608.0
3799.1413092544 0.1925585625 933161467904.0
3799.1473076963 0.1906353454 924954001408.0
3799.1533061381 0.1879875506 916671692800.0
3799.1593045799 0.1841843992 907891113984.0
3799.1653030217 0.1787973159 897414070272.0
3799.1713014635 0.1718762088 878118174720.0
3799.1772999053 0.1643738683 812577980416.0
3799.1832983471 0.1580205198 683290001408.0
3799.1892967889 0.1544449497 627224674304.0
3799.1952952307 0.1541024359 708564680704.0
3799.2012936725 0.1559350097 794144079872.0
3799.2072921144 0.1580579804 805375574016.0
3799.2132905562 0.1588073910 795308851200.0
3799.2192889980 0.1573164222 786871549952.0
3799.2252874398 0.1534599314 772104454144.0
3799.2312858816 0.1475882341 734172938240.0
3799.2372843234 0.1404164988 691266781184.0
3799.2432827652 0.1330472324 642766143488.0
3799.2492812070 0.1268654272 569370345472.0
3799.2552796488 0.1231328985 524125896704.0
3799.2612780906 0.1224199409 535441571840.0
3799.2672765324 0.1242668917 586884907008.0
3799.2732749742 0.1273733854 639293390848.0
3799.2792734160 0.1302059403 664354750464.0
3799.2852718578 0.1315970521 665120735232.0
3799.2912702997 0.1309889080 655497428992.0
3799.2972687415 0.1283054846 642254635008.0
3799.3032671833 0.1236431695 622186921984.0
3799.3092656251 0.1169422037 580788944896.0
3799.3152640669 0.1077866161 531047251968.0
3799.3212625087 0.0956041416 521709780992.0
3799.3272609505 0.0804447242 512607715328.0
3799.3332593923 0.0639160153 316621324288.0
3799.3392578341 0.0493173256 93117997056.0
3799.3452562759 0.0404310101 43840540672.0
3799.3512547177 0.0395940761 46038044672.0
3799.3572531595 0.0463681836 107257544704.0
3799.3632516013 0.0577157340 328187969536.0
3799.3692500431 0.0695490900 452276584448.0
3799.3752484849 0.0786304763 453853216768.0
3799.3812469267 0.0836480830 441480871936.0
3799.3872453685 0.0850221100 427128422400.0
3799.3932438103 0.0839619872 411932000256.0
3799.3992422521 0.0816125962 396504170496.0
3799.4052406939 0.0787007692 381194993664.0
3799.4112391357 0.0755729799 365943324672.0
3799.4172375775 0.0723562933 350551310336.0
3799.4232360193 0.0690856395 334791737344.0
3799.4292344611 0.0657690845 318642257920.0
3799.4352329029 0.0624123811 302220738560.0
3799.4412313447 0.0590242662 285631447040.0
3799.4472297865 0.0556145067 269007470592.0
3799.4532282283 0.0521906903 252471148544.0
3799.4592266701 0.0487565597 235906662400.0
3799.4652251119 0.0453123779 219311865856.0
3799.4712235537 0.0418559173 202624696320.0
3799.4772219955 0.0383813535 185821724672.0
3799.4832204373 0.0348731027 168969191424.0
3799.4892188791 0.0312944442 152113987584.0
3799.4952173208 0.0275797917 135227539456.0
3799.5012157626 0.0236519402 118296625152.0
3799.5072142044 0.0194830500 101085528064.0
3799.5132126462 0.0151798750 80074719232.0
3799.5192110880 0.0110215089 44242104320.0
3799.5252095298 0.0073835926 16018897920.0
3799.5312079716 0.0045774367 6337860096.0
3799.5372064134 0.0027262188 3417301760.0
3799.5432048552 0.0017775560 2635191808.0
3799.5492032970 0.0016306268 2549175296.0
3799.5552017388 0.0022638638 2983013632.0
3799.5612001806 0.0037598142 4780580352.0
3799.5671986224 0.0062077037 10942685184.0
3799.5731970642 0.0095603252 30498136064.0
3799.5791955059 0.0135682833 68540006400.0
3799.5851939477 0.0178590868 94108221440.0
3799.5911923895 0.0221014620 111838470144.0
3799.5971908313 0.0261234535 128823943168.0
3799.6031892731 0.0299126642 145768529920.0
3799.6091877149 0.0335382718 162639118336.0
3799.6151861567 0.0370755473 179534839808.0
3799.6211845985 0.0405730934 196372791296.0
3799.6271830403 0.0440535141 213189427200.0
3799.6331814821 0.0475243615 229987352576.0
3799.6391799238 0.0509866057 246800449536.0
3799.6451783656 0.0544387556 263540146176.0
3799.6511768074 0.0578782649 280191172608.0
3799.6571752492 0.0613013737 296777154560.0
3799.6631736910 0.0647020534 313326174208.0
3799.6691721328 0.0680713469 329791963136.0
3799.6751705746 0.0713992703 346158891008.0
3799.6811690163 0.0746807917 362270097408.0
3799.6871674581 0.0779240017 377795477504.0
3799.6931658999 0.0811540618 392448868352.0
3799.6991643417 0.0844061127 406959882240.0
3799.7051627835 0.0877076821 422753468416.0
3799.7111612253 0.0910614172 439993499648.0
3799.7171596671 0.0944414311 457466970112.0
3799.7231581088 0.0978068458 474605715456.0
3799.7291565506 0.1011227676 490618454016.0
3799.7351549924 0.1043742265 505773654016.0
3799.7411534342 0.1075657257 520785854464.0
3799.7471518760 0.1107102214 535909629952.0
3799.7531503178 0.1138168358 551078199296.0
3799.7591487595 0.1168836725 566123036672.0
3799.7651472013 0.1198960557 580953571328.0
3799.7711456431 0.1228280813 595565871104.0
3799.7771440849 0.1256479663 609860386816.0
3799.7831425267 0.1283304053 623505506304.0
3799.7891409684 0.1308756107 635928379392.0
3799.7951394102 0.1333244647 646336020480.0
3799.8011378520 0.1357521108 655124922368.0
3799.8071362938 0.1382315849 665275924480.0
3799.8131347356 0.1407835909 679205863424.0
3799.8191331773 0.1433456418 695236558848.0
3799.8251316191 0.1457812215 710087081984.0
3799.8311300609 0.1479140094 722031345664.0
3799.8371285027 0.1495435401 731075379200.0
3799.8431269445 0.1503965175 737535524864.0
3799.8491253862 0.1499923156 741078335488.0
3799.8551238280 0.1474621867 741343756288.0
3799.8611222698 0.1414789004 736352665600.0
3799.8671207116 0.1305601159 721139400704.0
3799.8731191533 0.1138843580 680355889152.0
3799.8791175951 0.0922688644 547364012032.0
3799.8851160369 0.0684893003 262778634240.0
3799.8911144787 0.0464004375 83863691264.0
3799.8971129204 0.0293725984 35367890944.0
3799.9031113622 0.0192817661 22026098688.0
3799.9091098040 0.0167374262 19428665344.0
3799.9151082458 0.0219661395 24044806144.0
3799.9211066875 0.0351854562 42472513536.0
3799.9271051293 0.0559756443 111940722688.0
3799.9331035711 0.0823529151 346884112384.0
