# wavelength normalized_flux flux
3798.9253653490 0.1647332739 107852693766144.0
3798.9313637908 0.2118797532 113120185942016.0
3798.9373622327 0.2474762968 114911027920896.0
3798.9433606745 0.2696619273 115814397116416.0
3798.9493591163 0.2811667512 116400928587776.0
3798.9553575581 0.2861613379 116740507828224.0
3798.9613559999 0.2879278728 116804353523712.0
3798.9673544418 0.2883157107 116588372033536.0
3798.9733528836 0.2881805581 116204727435264.0
3798.9793513254 0.2878866649 115875290021888.0
3798.9853497672 0.2875533742 115782310690816.0
3798.9913482090 0.2871179379 115910614450176.0
3798.9973466509 0.2863505405 116056802721792.0
3799.0033450927 0.2849027046 116000791986176.0
3799.0093435345 0.2824209835 115570154405888.0
3799.0153419763 0.2787193348 114384173006848.0
3799.0213404181 0.2739494409 111840008863744.0
3799.0273388600 0.2686577993 108047158476800.0
3799.0333373018 0.2636397227 104369466900480.0
3799.0393357436 0.2596219916 102170963738624.0
3799.0453341854 0.2569450929 101717995683840.0
3799.0513326272 0.2554427734 102440993030144.0
3799.0573310690 0.2545916340 103355418411008.0
3799.0633295109 0.2538209262 103473781669888.0
3799.0693279527 0.2527704830 102554297958400.0
3799.0753263945 0.2513333210 101254474760192.0
3799.0813248363 0.2494803306 100365374586880.0
3799.0873232781 0.2470234917 100129352712192.0
3799.0933217199 0.2435205001 100074499604480.0
3799.0993201617 0.2384260334 99177891627008.0
3799.1053186036 0.2314205297 96402654887936.0
3799.1113170454 0.2227156735 91528529707008.0
3799.1173154872 0.2131380774 85511565737984.0
3799.1233139290 0.2039260082 79845413355520.0
3799.1293123708 0.1963384498 75652879351808.0
3799.1353108126 0.1912540572 73389423198208.0
3799.1413092544 0.1888968495 73038955544576.0
3799.1473076963 0.1887388152 74320248307712.0
3799.1533061381 0.1895900119 76731771781120.0
3799.1593045799 0.1899004077 79439480225792.0
3799.1653030217 0.1882703914 80941301104640.0
3799.1713014635 0.1840238350 79022943895552.0
3799.1772999053 0.1775329703 73001794011136.0
3799.1832983471 0.1700258801 66152201977856.0
3799.1892967889 0.1629360015 62134713057280.0
3799.1952952307 0.1572035080 61169922473984.0
3799.2012936725 0.1529454623 61069519224832.0
3799.2072921144 0.1495700156 60384933314560.0
3799.2132905562 0.1461071312 59704579457024.0
3799.2192889980 0.1415512157 59513910591488.0
3799.2252874398 0.1352000947 58447903064064.0
3799.2312858816 0.1270008987 54237773955072.0
3799.2372843234 0.1177573768 47254442344448.0
3799.2432827652 0.1090003142 40633645400064.0
3799.2492812070 0.1025174519 36341333098496.0
3799.2552796488 0.0997733735 34671998009344.0
3799.2612780906 0.1014704749 35537381490688.0
3799.2672765324 0.1073487043 38975750275072.0
3799.2732749742 0.1162160474 44988092121088.0
3799.2792734160 0.1262134602 52598824501248.0
3799.2852718578 0.1353052279 59103409864704.0
3799.2912702997 0.1418523019 62290812469248.0
3799.2972687415 0.1449959971 62447947874304.0
3799.3032671833 0.1446454343 60904083292160.0
3799.3092656251 0.1411295242 58646847291392.0
3799.3152640669 0.1348309930 56524131008512.0
3799.3212625087 0.1261334927 54343332003840.0
3799.3272609505 0.1157309512 49670357254144.0
3799.3332593923 0.1049753496 41180398092288.0
3799.3392578341 0.0958188292 33087788417024.0
3799.3452562759 0.0902001521 28934401949696.0
3799.3512547177 0.0891940060 29094815203328.0
3799.3572531595 0.0924683159 33350825803776.0
3799.3632516013 0.0984094904 40461846708224.0
3799.3692500431 0.1048501099 46357062615040.0
3799.3752484849 0.1099678286 48329912221696.0
3799.3812469267 0.1128553239 47979880775680.0
3799.3872453685 0.1135319858 47000439488512.0
3799.3932438103 0.1125552460 45913305251840.0
3799.3992422521 0.1105769945 44807321812992.0
3799.4052406939 0.1080853145 43692622610432.0
3799.4112391357 0.1053555304 42565931892736.0
3799.4172375775 0.1025108193 41417762144256.0
3799.4232360193 0.0995971979 40237644382208.0
3799.4292344611 0.0966319792 39024089628672.0
3799.4352329029 0.0936238438 37791207522304.0
3799.4412313447 0.0905755142 36559701147648.0
3799.4472297865 0.0874796826 35336348499968.0
3799.4532282283 0.0843145321 34104657575936.0
3799.4592266701 0.0810388920 32836497178624.0
3799.4652251119 0.0775800292 31508312096768.0
3799.4712235537 0.0738049850 30106003177472.0
3799.4772219955 0.0694799187 28621408305152.0
3799.4832204373 0.0642564514 27042227683328.0
3799.4892188791 0.0577547989 25289105080320.0
3799.4952173208 0.0497797525 22874907738112.0
3799.5012157626 0.0405786593 18217053454336.0
3799.5072142044 0.0309308420 11162630488064.0
3799.5132126462 0.0219193588 5582321876992.0
3799.5192110880 0.0144884040 2775776493568.0
3799.5252095298 0.0090868553 1568206487552.0
3799.5312079716 0.0056193538 1036108627968.0
3799.5372064134 0.0036663731 791793369088.0
3799.5432048552 0.0027713456 689687298048.0
3799.5492032970 0.0026386540 675022045184.0
3799.5552017388 0.0032176463 740088414208.0
3799.5612001806 0.0047128058 919332126720.0
3799.5671986224 0.0075310634 1313785118720.0
3799.5731970642 0.0121296431 2189345816576.0
3799.5791955059 0.0187537332 4232080785408.0
3799.5851939477 0.0271710341 8673465729024.0
3799.5911923895 0.0366063095 15557805998080.0
3799.5971908313 0.0459936367 21254169952256.0
3799.6031892731 0.0544127713 24213700214784.0
3799.6091877149 0.0614081579 26143373656064.0
3799.6151861567 0.0670005939 27837174120448.0
3799.6211845985 0.0714682638 29408328941568.0
3799.6271830403 0.0751142760 30824588115968.0
3799.6331814821 0.0781620270 32030618288128.0
3799.6391799238 0.0807719708 32983494950912.0
3799.6451783656 0.0830998816 33700437819392.0
3799.6511768074 0.0853306804 34295735386112.0
3799.6571752492 0.0876659827 34954780082176.0
3799.6631736910 0.0902779505 35855980822528.0
3799.6691721328 0.0932583891 37096727248896.0
3799.6751705746 0.0965922393 38653476732928.0
3799.6811690163 0.1001712042 40384214335488.0
3799.6871674581 0.1038420153 42089786114048.0
3799.6931658999 0.1074654629 43625220145152.0
3799.6991643417 0.1109578305 44976973021184.0
3799.7051627835 0.1142988941 46228884684800.0
3799.7111612253 0.1175111480 47463977189376.0
