# wavelength normalized_flux flux
3798.9253653490 0.0869604191 25927253753856.0
3798.9313637908 0.1114309285 26548293861376.0
3798.9373622327 0.1296707065 26749861625856.0
3798.9433606745 0.1408372434 26867807551488.0
3798.9493591163 0.1465020957 26943548293120.0
3798.9553575581 0.1489382153 26984824438784.0
3798.9613559999 0.1498868442 27002776059904.0
3798.9673544418 0.1502871165 27016300593152.0
3798.9733528836 0.1505246368 27044419207168.0
3798.9793513254 0.1507162367 27093985394688.0
3798.9853497672 0.1508701130 27153135566848.0
3798.9913482090 0.1509520692 27197639229440.0
3798.9973466509 0.1509111132 27207489552384.0
3799.0033450927 0.1506921330 27182709604352.0
3799.0093435345 0.1502508256 27142123421696.0
3799.0153419763 0.1495804552 27068970565632.0
3799.0213404181 0.1487422782 26855553892352.0
3799.0273388600 0.1478694134 26470760054784.0
3799.0333373018 0.1471198313 26174474420224.0
3799.0393357436 0.1465973951 26162904432640.0
3799.0453341854 0.1462976057 26269251010560.0
3799.0513326272 0.1461191658 26332385771520.0
3799.0573310690 0.1459276450 26343003652096.0
3799.0633295109 0.1456220114 26290948145152.0
3799.0693279527 0.1451662305 26171754414080.0
3799.0753263945 0.1445806833 26018177875968.0
3799.0813248363 0.1439090723 25862619529216.0
3799.0873232781 0.1431807370 25724595470336.0
3799.0933217199 0.1423860490 25626587168768.0
3799.0993201617 0.1414774008 25542497665024.0
3799.1053186036 0.1403969789 25393543249920.0
3799.1113170454 0.1391169350 25142828728320.0
3799.1173154872 0.1376683583 24812181258240.0
3799.1233139290 0.1361408492 24446947557376.0
3799.1293123708 0.1346499817 24101129289728.0
3799.1353108126 0.1332830488 23822969339904.0
3799.1413092544 0.1320377444 23637021163520.0
3799.1473076963 0.1307701305 23533746913280.0
3799.1533061381 0.1291791585 23472057090048.0
3799.1593045799 0.1268724564 23385574735872.0
3799.1653030217 0.1235470464 23129627820032.0
3799.1713014635 0.1192368221 22307101736960.0
3799.1772999053 0.1144584911 20520936407040.0
3799.1832983471 0.1100708873 18517954920448.0
3799.1892967889 0.1068539138 17678139916288.0
3799.1952952307 0.1050771109 18221597982720.0
3799.2012936725 0.1043677494 19024582803456.0
3799.2072921144 0.1039247585 19143543750656.0
3799.2132905562 0.1028519556 18983749156864.0
3799.2192889980 0.1004027117 18974649614336.0
3799.2252874398 0.0961435602 18695061504000.0
3799.2312858816 0.0901261753 17367686971392.0
3799.2372843234 0.0830189819 15043452207104.0
3799.2432827652 0.0760360796 12655067660288.0
3799.2492812070 0.0706022232 10981577064448.0
3799.2552796488 0.0678903429 10262861053952.0
3799.2612780906 0.0684417708 10486346153984.0
3799.2672765324 0.0719998271 11632672505856.0
3799.2732749742 0.0775869026 13611675156480.0
3799.2792734160 0.0838003654 15875151233024.0
3799.2852718578 0.0892420605 17456346169344.0
3799.2912702997 0.0929132334 18028234276864.0
3799.2972687415 0.0943887755 17965864976384.0
3799.3032671833 0.0936966330 17527777263616.0
3799.3092656251 0.0910108543 16820585103360.0
