# wavelength normalized_flux flux
3798.9253653490 0.3326653585 870200438161408.0
3798.9313637908 0.4255520766 878665885810688.0
3798.9373622327 0.4943991656 883429474304000.0
3798.9433606745 0.5362035073 886368104349696.0
3798.9493591163 0.5571297988 888314060079104.0
3798.9553575581 0.5658922177 889493028601856.0
3798.9613559999 0.5690763936 889952388775936.0
3798.9673544418 0.5701847215 889845283028992.0
3798.9733528836 0.5706428841 890350277230592.0
3798.9793513254 0.5708969138 890368933494784.0
3798.9853497672 0.5709883655 890990697119744.0
3798.9913482090 0.5707479091 892029743661056.0
3798.9973466509 0.5698567130 892811696144384.0
3799.0033450927 0.5679257016 892332673073152.0
3799.0093435345 0.5646485537 889095073038336.0
3799.0153419763 0.5600079226 881233806491648.0
3799.0213404181 0.5544459303 867885316571136.0
3799.0273388600 0.5488802481 851283120488448.0
3799.0333373018 0.5444970610 837176837275648.0
3799.0393357436 0.5423721936 829880358928384.0
3799.0453341854 0.5430848563 832278359965696.0
3799.0513326272 0.5465099542 843159793827840.0
3799.0573310690 0.5518849152 858764349538304.0
3799.0633295109 0.5581039242 874502518996992.0
3799.0693279527 0.5640847400 886911417712640.0
3799.0753263945 0.5690397528 894896634331136.0
3799.0813248363 0.5725609388 899320786190336.0
3799.0873232781 0.5745414840 901514507845632.0
3799.0933217199 0.5750343829 902122178609152.0
3799.0993201617 0.5741514420 900912809771008.0
3799.1053186036 0.5720488894 897285776998400.0
3799.1113170454 0.5689764178 890969356500992.0
3799.1173154872 0.5653275834 882938975617024.0
3799.1233139290 0.5616329482 873755664449536.0
3799.1293123708 0.5584698613 865789506748416.0
3799.1353108126 0.5563045944 860825329860608.0
3799.1413092544 0.5553172784 859897415598080.0
3799.1473076963 0.5552765800 862903221616640.0
3799.1533061381 0.5555254855 868453795758080.0
3799.1593045799 0.5551127015 873892499423232.0
3799.1653030217 0.5530559519 875602768822272.0
3799.1713014635 0.5486602880 870131920011264.0
3799.1772999053 0.5417646549 856237096828928.0
3799.1832983471 0.5327948630 836139804000256.0
3799.1892967889 0.5225752423 814266273759232.0
3799.1952952307 0.5119571319 793929536503808.0
3799.2012936725 0.5014038547 777378343157760.0
3799.2072921144 0.4907056828 765385989160960.0
3799.2132905562 0.4789873273 756383335055360.0
3799.2192889980 0.4650950516 744505133236224.0
3799.2252874398 0.4482826395 721091454566400.0
3799.2312858816 0.4289090816 681647951314944.0
3799.2372843234 0.4087733188 631737679872000.0
3799.2432827652 0.3908598334 583932345057280.0
3799.2492812070 0.3785715483 549736184545280.0
3799.2552796488 0.3747578515 536109159284736.0
3799.2612780906 0.3808697269 546310075711488.0
3799.2672765324 0.3964653619 581064716189696.0
3799.2732749742 0.4191919908 636898150187008.0
3799.2792734160 0.4452981619 703009038270464.0
3799.2852718578 0.4705889433 762983827374080.0
3799.2912702997 0.4915159829 803810242985984.0
3799.2972687415 0.5059617472 822833861099520.0
3799.3032671833 0.5134065223 825502377967616.0
3799.3092656251 0.5145166800 819184481075200.0
3799.3152640669 0.5105123684 808927092539392.0
3799.3212625087 0.5027262705 795514513653760.0
3799.3272609505 0.4925278156 776307889668096.0
3799.3332593923 0.4814518516 749964372213760.0
3799.3392578341 0.4711989192 721607924383744.0
3799.3452562759 0.4633042244 701105159798784.0
3799.3512547177 0.4585996273 695445131100160.0
3799.3572531595 0.4568356589 703415114006528.0
3799.3632516013 0.4567686010 716468660469760.0
3799.3692500431 0.4566977290 724806467059712.0
3799.3752484849 0.4551322007 723894323380224.0
3799.3812469267 0.4512189816 715149233094656.0
3799.3872453685 0.4447756371 701901742014464.0
3799.3932438103 0.4360396979 686337116078080.0
3799.3992422521 0.4253688633 669127718993920.0
3799.4052406939 0.4130671951 650019476602880.0
3799.4112391357 0.3993739345 628464713465856.0
3799.4172375775 0.3845456501 604104799813632.0
3799.4232360193 0.3689317166 577303197253632.0
3799.4292344611 0.3529732827 549469024157696.0
3799.4352329029 0.3371155677 522604003721216.0
3799.4412313447 0.3216798115 498148795482112.0
3799.4472297865 0.3067629336 476188225044480.0
3799.4532282283 0.2922050760 455582549016576.0
3799.4592266701 0.2776099211 434895000174592.0
3799.4652251119 0.2623742142 413346008399872.0
3799.4712235537 0.2457226924 390889335685120.0
3799.4772219955 0.2268230245 367059313623040.0
3799.4832204373 0.2050668038 338579553255424.0
3799.4892188791 0.1804689800 297924969889792.0
3799.4952173208 0.1539475603 242937862553600.0
3799.5012157626 0.1272203129 186663724646400.0
3799.5072142044 0.1022938663 139670012821504.0
3799.5132126462 0.0808239413 104528523296768.0
3799.5192110880 0.0637006734 80063676547072.0
3799.5252095298 0.0510145079 64140592807936.0
3799.5312079716 0.0423065013 54423996858368.0
3799.5372064134 0.0369048466 48906457055232.0
3799.5432048552 0.0342025082 46286619279360.0
3799.5492032970 0.0338286647 45931403673600.0
3799.5552017388 0.0357272566 47755204493312.0
3799.5612001806 0.0401659161 52198885031936.0
3799.5671986224 0.0476790236 60327064502272.0
3799.5731970642 0.0589259021 73929725050880.0
3799.5791955059 0.0744451403 95299276111872.0
3799.5851939477 0.0943316830 126646891839488.0
3799.5911923895 0.1179526510 169529187500032.0
3799.5971908313 0.1438888655 222658000060416.0
3799.6031892731 0.1702346925 278174009131008.0
3799.6091877149 0.1951745328 322648647139328.0
3799.6151861567 0.2175302193 353891849863168.0
3799.6211845985 0.2369708176 379005295394816.0
3799.6271830403 0.2538307762 402040849170432.0
3799.6331814821 0.2687539018 423645641965568.0
3799.6391799238 0.2824240674 443461983535104.0
3799.6451783656 0.2954760433 461575639007232.0
3799.6511768074 0.3085065376 479005690036224.0
3799.6571752492 0.3220660003 497464318623744.0
3799.6631736910 0.3365817800 518667867521024.0
3799.6691721328 0.3522474373 543612299378688.0
3799.6751705746 0.3689493194 572079577497600.0
3799.6811690163 0.3862832043 602620754395136.0
3799.6871674581 0.4036651225 633105157193728.0
3799.6931658999 0.4204928581 661604748230656.0
3799.6991643417 0.4362922945 687053234765824.0
3799.7051627835 0.4507919377 709316130635776.0
3799.7111612253 0.4638959935 728846823325696.0
3799.7171596671 0.4755510203 746366397579264.0
3799.7231581088 0.4855177742 762646672441344.0
3799.7291565506 0.4930876094 778214788038656.0
3799.7351549924 0.4968475250 792667688534016.0
3799.7411534342 0.4946862228 803367458701312.0
3799.7471518760 0.4842549932 803528184430592.0
3799.7531503178 0.4639276908 781081410273280.0
3799.7591487595 0.4339407421 723818557472768.0
3799.7651472013 0.3970850462 633607467040768.0
3799.7711456431 0.3584218532 534111462621184.0
3799.7771440849 0.3240625719 453285613928448.0
3799.7831425267 0.2996494070 403341855162368.0
3799.7891409684 0.2892519862 383411327860736.0
3799.7951394102 0.2949108861 391078482018304.0
3799.8011378520 0.3165465885 428003926474752.0
3799.8071362938 0.3519285510 498498935980032.0
3799.8131347356 0.3967972435 600469512650752.0
3799.8191331773 0.4455037774 714695577174016.0
3799.8251316191 0.4922778825 812525335609344.0
3799.8311300609 0.5326681864 879131218673664.0
3799.8371285027 0.5644188093 919129443794944.0
3799.8431269445 0.5873677571 943313867767808.0
3799.8491253862 0.6025733949 959174980665344.0
3799.8551238280 0.6112583365 970117953355776.0
3799.8611222698 0.6141004165 977105663819776.0
3799.8671207116 0.6111038471 978361404882944.0
3799.8731191533 0.6020117519 969622689939456.0
3799.8791175951 0.5870412913 945148422782976.0
3799.8851160369 0.5675950784 902007422451712.0
