# wavelength normalized_flux flux
3798.9253653490 0.0891645784 10540520833024.0
3798.9313637908 0.1141607795 10727704231936.0
3798.9373622327 0.1327244025 10803427147776.0
3798.9433606745 0.1440071447 10848422592512.0
3798.9493591163 0.1496399471 10868162035712.0
3798.9553575581 0.1519777826 10863663644672.0
3798.9613559999 0.1528368735 10846258331648.0
3798.9673544418 0.1532090569 10838877405184.0
3798.9733528836 0.1535002665 10860513722368.0
3798.9793513254 0.1538125652 10908559474688.0
3798.9853497672 0.1541162380 10959959621632.0
3798.9913482090 0.1543394298 10990396637184.0
3798.9973466509 0.1544137094 10992027172864.0
3799.0033450927 0.1542901349 10975911608320.0
3799.0093435345 0.1539417810 10961892147200.0
3799.0153419763 0.1533752223 10949705596928.0
3799.0213404181 0.1526540889 10883737583616.0
3799.0273388600 0.1519038982 10727086620672.0
3799.0333373018 0.1512671744 10614375186432.0
3799.0393357436 0.1508274958 10647013163008.0
3799.0453341854 0.1505638466 10697338519552.0
3799.0513326272 0.1503728275 10696160968704.0
3799.0573310690 0.1501329998 10683359952896.0
3799.0633295109 0.1497595650 10664679571456.0
3799.0693279527 0.1492263729 10624715194368.0
3799.0753263945 0.1485643387 10564456677376.0
3799.0813248363 0.1478454758 10484383219712.0
3799.0873232781 0.1471503230 10392880283648.0
3799.0933217199 0.1465240988 10350503133184.0
3799.0993201617 0.1459468201 10366442536960.0
3799.1053186036 0.1453426658 10361013010432.0
3799.1113170454 0.1446242586 10309275222016.0
3799.1173154872 0.1437388201 10234666942464.0
3799.1233139290 0.1426863441 10148342923264.0
3799.1293123708 0.1415055303 10051547824128.0
3799.1353108126 0.1402391918 9948442394624.0
3799.1413092544 0.1388874622 9849996836864.0
3799.1473076963 0.1373543327 9766853148672.0
3799.1533061381 0.1354111787 9697319976960.0
3799.1593045799 0.1327325864 9623476109312.0
3799.1653030217 0.1290594574 9502394941440.0
3799.1713014635 0.1244574416 9192849014784.0
3799.1772999053 0.1194912843 8465932091392.0
3799.1832983471 0.1150902578 7574748921856.0
3799.1892967889 0.1120847639 7225617154048.0
3799.1952952307 0.1107174723 7573629042688.0
3799.2012936725 0.1105076257 8024394563584.0
3799.2072921144 0.1105353498 8081719164928.0
3799.2132905562 0.1098572104 7995257257984.0
3799.2192889980 0.1077663598 7980620185600.0
3799.2252874398 0.1038930495 7871192367104.0
3799.2312858816 0.0982970223 7400987295744.0
3799.2372843234 0.0915761515 6615122051072.0
3799.2432827652 0.0848470520 5720078548992.0
3799.2492812070 0.0794834151 4993342504960.0
3799.2552796488 0.0766756351 4650922147840.0
3799.2612780906 0.0770048697 4727255334912.0
3799.2672765324 0.0802193932 5204972404736.0
3799.2732749742 0.0853098919 6005513519104.0
3799.2792734160 0.0908606250 6831204204544.0
3799.2852718578 0.0955292439 7315373162496.0
3799.2912702997 0.0984329285 7441162436608.0
3799.2972687415 0.0992646253 7384237342720.0
3799.3032671833 0.0981177516 7209120956416.0
3799.3092656251 0.0951592758 6908402991104.0
3799.3152640669 0.0903857829 6622960680960.0
3799.3212625087 0.0836895610 6507576426496.0
3799.3272609505 0.0752793272 6140787163136.0
3799.3332593923 0.0661599082 4677454266368.0
3799.3392578341 0.0581729687 3156482457600.0
3799.3452562759 0.0533575282 2475395383296.0
3799.3512547177 0.0529550952 2515769491456.0
3799.3572531595 0.0567238918 3278468284416.0
3799.3632516013 0.0630343370 4734561812480.0
3799.3692500431 0.0696822749 5792318619648.0
3799.3752484849 0.0748882707 5957112299520.0
3799.3812469267 0.0778810195 5868270125056.0
3799.3872453685 0.0788320102 5744071016448.0
3799.3932438103 0.0783839736 5612384026624.0
3799.3992422521 0.0771873578 5483404460032.0
3799.4052406939 0.0756758998 5365117222912.0
3799.4112391357 0.0740575782 5256971812864.0
3799.4172375775 0.0723953989 5149685186560.0
3799.4232360193 0.0706877194 5034208133120.0
3799.4292344611 0.0689185435 4908097994752.0
3799.4352329029 0.0670794248 4773724028928.0
3799.4412313447 0.0651722888 4634567507968.0
3799.4472297865 0.0632026945 4493398769664.0
3799.4532282283 0.0611713702 4351256428544.0
3799.4592266701 0.0590685571 4206933049344.0
3799.4652251119 0.0568711758 4057415548928.0
3799.4712235537 0.0545380511 3899383349248.0
3799.4772219955 0.0519954576 3730451202048.0
3799.4832204373 0.0491098308 3549000630272.0
3799.4892188791 0.0456645657 3353355485184.0
3799.4952173208 0.0413876878 3140133060608.0
3799.5012157626 0.0360778855 2888643641344.0
3799.5072142044 0.0298021249 2458840203264.0
3799.5132126462 0.0230240113 1579452203008.0
3799.5192110880 0.0165080861 751230451712.0
3799.5252095298 0.0110116271 359509590016.0
3799.5312079716 0.0069763083 201812672512.0
3799.5372064134 0.0044384406 135926071296.0
3799.5432048552 0.0031829451 109697032192.0
3799.5492032970 0.0029914361 105987186688.0
3799.5552017388 0.0038220408 122553245696.0
3799.5612001806 0.0058406402 169747841024.0
3799.5671986224 0.0092927583 282009763840.0
3799.5731970642 0.0142657003 558692696064.0
3799.5791955059 0.0204761537 1213100195840.0
3799.5851939477 0.0272578186 2178223439872.0
3799.5911923895 0.0338054929 2764538118144.0
3799.5971908313 0.0395156713 3053233897472.0
3799.6031892731 0.0441775282 3276505350144.0
3799.6091877149 0.0479162774 3478530293760.0
