# wavelength normalized_flux flux
3798.9253653490 0.0958375659 33979289829376.0
3798.9313637908 0.1229046658 35002353975296.0
3798.9373622327 0.1431370841 35312818454528.0
3798.9433606745 0.1555778685 35483715371008.0
3798.9493591163 0.1619349137 35599197143040.0
3798.9553575581 0.1647009905 35672974950400.0
3798.9613559999 0.1657918267 35714314010624.0
3798.9673544418 0.1662436887 35737634340864.0
3798.9733528836 0.1664867801 35761843863552.0
3798.9793513254 0.1666595955 35802268565504.0
3798.9853497672 0.1667827036 35858061197312.0
3798.9913482090 0.1668259665 35907772088320.0
3798.9973466509 0.1667320838 35923387482112.0
3799.0033450927 0.1664308824 35894983655424.0
3799.0093435345 0.1658610795 35833918783488.0
3799.0153419763 0.1650065045 35705849905152.0
3799.0213404181 0.1639342160 35380254474240.0
3799.0273388600 0.1628003602 34842190282752.0
3799.0333373018 0.1617973285 34402524463104.0
3799.0393357436 0.1610619070 34305168375808.0
3799.0453341854 0.1606062447 34406748127232.0
3799.0513326272 0.1603217505 34509999308800.0
3799.0573310690 0.1600488777 34545239851008.0
3799.0633295109 0.1596602241 34467882205184.0
3799.0693279527 0.1591063441 34278935101440.0
3799.0753263945 0.1584075429 34045266231296.0
3799.0813248363 0.1576076373 33832900231168.0
3799.0873232781 0.1567212962 33670637289472.0
3799.0933217199 0.1557056941 33553811243008.0
3799.0993201617 0.1544736209 33415420182528.0
3799.1053186036 0.1529432107 33145181175808.0
3799.1113170454 0.1510980330 32688666836992.0
3799.1173154872 0.1490229879 32086001975296.0
3799.1233139290 0.1468927800 31438546141184.0
3799.1293123708 0.1449133618 30864043933696.0
3799.1353108126 0.1432367031 30453075542016.0
3799.1413092544 0.1418757445 30238750801920.0
3799.1473076963 0.1406451768 30189597753344.0
3799.1533061381 0.1391589437 30223674376192.0
3799.1593045799 0.1369260323 30220203589632.0
3799.1653030217 0.1335669319 29940797931520.0
3799.1713014635 0.1290853797 28849853169664.0
3799.1772999053 0.1240148444 26570074882048.0
3799.1832983471 0.1192590612 24114033065984.0
3799.1892967889 0.1156493949 23035838988288.0
3799.1952952307 0.1134986932 23534652882944.0
3799.2012936725 0.1124572149 24378406338560.0
3799.2072921144 0.1117141419 24527461416960.0
3799.2132905562 0.1103293071 24358818938880.0
3799.2192889980 0.1074997325 24320269090816.0
3799.2252874398 0.1027616032 23881714761728.0
3799.2312858816 0.0961911724 22082117173248.0
3799.2372843234 0.0885332991 19049236922368.0
3799.2432827652 0.0810971268 16056891473920.0
3799.2492812070 0.0753826885 14026178297856.0
3799.2552796488 0.0726002267 13174355001344.0
3799.2612780906 0.0732956289 13474385100800.0
3799.2672765324 0.0771949470 14908902080512.0
3799.2732749742 0.0832816406 17385180364800.0
3799.2792734160 0.0900847196 20290358738944.0
3799.2852718578 0.0961099831 22438897254400.0
3799.2912702997 0.1002563575 23294333943808.0
3799.2972687415 0.1020200071 23256073502720.0
3799.3032671833 0.1013910154 22694569443328.0
3799.3092656251 0.0985447576 21816777113600.0
3799.3152640669 0.0935850801 21007700066304.0
3799.3212625087 0.0865857557 20372665663488.0
3799.3272609505 0.0779519432 18608677715968.0
3799.3332593923 0.0687996962 14395207843840.0
3799.3392578341 0.0609247801 10334361354240.0
3799.3452562759 0.0562028935 8396695142400.0
3799.3512547177 0.0557312942 8503925145600.0
3799.3572531595 0.0592606506 10622244749312.0
3799.3632516013 0.0652885336 14460736503808.0
3799.3692500431 0.0717619859 17637608259584.0
3799.3752484849 0.0769622236 18516400930816.0
3799.3812469267 0.0800630133 18341490065408.0
3799.3872453685 0.0811281296 17963727978496.0
3799.3932438103 0.0807155400 17555826671616.0
3799.3992422521 0.0794441153 17144089673728.0
3799.4052406939 0.0777568596 16736437927936.0
3799.4112391357 0.0758891222 16331800838144.0
3799.4172375775 0.0739346713 15921120804864.0
3799.4232360193 0.0719186039 15494215106560.0
3799.4292344611 0.0698430966 15046588497920.0
3799.4352329029 0.0677071950 14581216837632.0
3799.4412313447 0.0655108385 14105092030464.0
3799.4472297865 0.0632518164 13622904356864.0
3799.4532282283 0.0609212853 13133212024832.0
3799.4592266701 0.0585000413 12629578874880.0
3799.4652251119 0.0559534144 12103525072896.0
3799.4712235537 0.0532187456 11546911571968.0
3799.4772219955 0.0501810328 10953449013248.0
3799.4832204373 0.0466476888 10318577139712.0
3799.4892188791 0.0423615863 9635140468736.0
3799.4952173208 0.0371023815 8856658771968.0
3799.5012157626 0.0308715474 7684067164160.0
3799.5072142044 0.0240462364 5345813987328.0
3799.5132126462 0.0173393570 2602127851520.0
3799.5192110880 0.0115279987 1109105573888.0
3799.5252095298 0.0071217695 544154681344.0
3799.5312079716 0.0042060407 326317178880.0
3799.5372064134 0.0025368450 232642314240.0
3799.5432048552 0.0017686797 194066300928.0
3799.5492032970 0.0016552294 188522397696.0
3799.5552017388 0.0021534527 213100478464.0
3799.5612001806 0.0034388393 281170870272.0
3799.5671986224 0.0058375282 437375926272.0
3799.5731970642 0.0096600810 824119721984.0
3799.5791955059 0.0149687525 1871813410816.0
3799.5851939477 0.0214118013 4215320608768.0
3799.5911923895 0.0282812554 6956676284416.0
3799.5971908313 0.0348009044 8480748470272.0
3799.6031892731 0.0404489942 9344442695680.0
3799.6091877149 0.0450921596 10056249638912.0
3799.6151861567 0.0488872705 10713487638528.0
3799.6211845985 0.0520883197 11328521502720.0
3799.6271830403 0.0549079460 11904472842240.0
3799.6331814821 0.0574783445 12442813857792.0
3799.6391799238 0.0598728067 12943608512512.0
3799.6451783656 0.0621383445 13408826032128.0
3799.6511768074 0.0643152156 13847646699520.0
3799.6571752492 0.0664406462 14277551325184.0
3799.6631736910 0.0685428853 14717540106240.0
3799.6691721328 0.0706339545 15177432956928.0
3799.6751705746 0.0727085807 15650397356032.0
3799.6811690163 0.0747524875 16114132189184.0
3799.6871674581 0.0767562856 16544075612160.0
3799.6931658999 0.0787258439 16936019689472.0
3799.6991643417 0.0806812031 17317809356800.0
3799.7051627835 0.0826442541 17727248924672.0
3799.7111612253 0.0846242535 18174388994048.0
3799.7171596671 0.0866116381 18634653040640.0
3799.7231581088 0.0885827111 19078550913024.0
3799.7291565506 0.0905073652 19496435712000.0
3799.7351549924 0.0923478603 19895565680640.0
3799.7411534342 0.0940422007 20286325915648.0
3799.7471518760 0.0954787210 20673189642240.0
3799.7531503178 0.0964844128 21044869988352.0
3799.7591487595 0.0968590426 21346163621888.0
3799.7651472013 0.0964741610 21426583109632.0
3799.7711456431 0.0954108975 21057238990848.0
3799.7771440849 0.0940546104 20192205733888.0
3799.7831425267 0.0930516830 19207011958784.0
